"(-10, -10, 5)",[-21.17207495  -6.18890813 -21.14717499  -6.50883463]
"(-9, -10, 5)",[-22.16323865  -4.37290674 -21.88784124  -4.3645487 ]
"(-9, -9, 5)",[-15.01939343  -4.28936993 -13.31398944  -4.69791902]
"(-7, -8, 5)",[-15.76574484  -4.0868627   -5.30517331  -4.6224586 ]
"(-5, -7, 1)",[-8.93427345 -4.90823166 -4.86044985 -4.85416135]
"(-5, -8, 1)",[-21.48443589  -4.02684824  -3.92040416  -4.04766016]
"(-4, -7, 1)",[-15.10651041 -14.78605765 -12.85445412 -14.82491912]
"(-4, -6, 1)",[-12.39060307  -7.98504089 -11.61034503 -12.32481735]
"(-3, -6, 1)",[-16.28605014  -4.54705506  -4.63331467  -5.49456992]
"(-3, -5, 1)",[-9.43755036 -4.13212404 -4.65272943 -4.67889149]
"(-5, -6, 1)",[-15.01105603  -4.66130724  -4.72180864  -4.5202758 ]
"(-7, -7, 1)",[-19.19423828  -4.73875127  -4.58940806  -4.7459169 ]
"(-5, -5, 2)",[ -4.57007564 -23.64765029  -4.60874285  -4.41994564]
"(-5, -4, 2)",[ -4.23378544 -23.61847417  -4.25363937  -3.97467482]
"(-5, -3, 2)",[ -3.85137684 -23.82945686  -3.82613524  -3.26043478]
"(-4, -2, 2)",[ -6.76402114 -19.08438473  -6.77163519  -6.82897996]
"(-5, -4, 1)",[-15.99837269  -4.1718285   -4.18307423  -3.92544009]
"(-6, -4, 1)",[-11.25964673  -6.03052185  -6.73152303  -6.77800382]
"(-8, -5, 1)",[-7.23416372 -5.45160783 -6.48025077 -6.40618898]
"(-7, -5, 1)",[-18.00156594  -4.10871573  -4.12954034  -3.96168402]
"(-3, -3, 1)",[-9.1608913  -4.3299983  -4.34863896 -3.65645513]
"(-3, -4, 1)",[-8.92066697 -4.34375617 -4.39981543 -3.55550197]
"(-1, -3, 1)",[-7.41709723 -3.71285631 -3.74436726 -1.94644248]
"(0, -2, 2)",[-17.0591327  -16.06937363  -9.30061268 -31.59662479]
"(-1, -3, 2)",[ -4.01731455 -31.04341903  -4.01862984  -2.24620903]
"(-2, -3, 2)",[-11.21333063 -21.92769286  -7.69361395 -17.9532846 ]
"(-4, -4, 2)",[ -7.87135272 -22.87578555  -7.45133758  -7.6525832 ]
"(-4, -3, 2)",[ -7.15903544 -21.5369222   -7.10300794  -7.25092858]
"(-3, -3, 2)",[ -4.37886704 -25.78692867  -4.39837424  -3.70757574]
"(-1, -2, 2)",[ -4.20641042 -44.58557325  -4.2656865   -3.29316501]
"(-5, -5, 1)",[-12.39620973  -4.03962814  -4.56974221  -4.67991668]
"(-2, -4, 1)",[-16.55347611 -30.86529558 -14.70996938 -68.15226444]
"(-3, -4, 2)",[ -4.54290407 -25.27429121  -4.47186532  -3.54810553]
"(-4, -4, 1)",[-8.33046563 -7.88146641 -8.01482408 -8.32186354]
"(-4, -3, 1)",[-11.22960291  -7.59158892  -7.38457864  -7.6034369 ]
"(-6, -4, 2)",[ -6.55543582 -21.94993135  -6.23578473  -6.49909158]
"(-6, -5, 1)",[-9.29596418 -6.31355738 -7.09976767 -7.12071994]
"(-8, -5, 2)",[ -6.22357208 -19.7476637   -6.04485405  -6.21672128]
"(-8, -6, 1)",[-10.83209388  -6.12610565  -6.67343861  -6.66443306]
"(-6, -5, 2)",[ -6.74233948 -22.27745296  -6.7653357   -6.81500522]
"(-7, -6, 0)",[-4.46302224 -4.39347217 -4.02668587 -4.40960442]
"(-9, -7, 3)",[ -3.47202874  -3.32438963 -13.47783547  -3.39975914]
"(-9, -6, 3)",[-3.20305085 -2.93427224 -6.71012569 -3.09965335]
"(-10, -7, 3)",[-6.19185116 -6.16370993 -7.91100682 -6.16291723]
