"(-4, -2, 1)",[-5.51164945 -5.26569574 -3.32742078 -5.3097226 ]
"(-2, -1, 2)",[ -5.40939363  -5.53882937  -5.45498417 -25.7131476 ]
"(0, 0, 0)",[-20.60221287 -19.75933938  -0.39466973 -17.90471498]
"(1, 1, 4)",[  8.73194781   7.64100276  11.36770418 -26.44497542]
"(1, 0, 7)",[-29.09050606 -23.86652008  15.18443117 -11.95764834]
"(0, 0, 7)",[-7.39889655 -4.05278327 -7.85817071 -7.74804939]
"(2, 1, 4)",[-24.17988904  -6.00585113 -14.56092482  -6.19541296]
"(4, 2, 4)",[-2.56757491 -2.52695382 -2.54980545 -3.51120218]
"(-1, -1, 1)",[-44.90641289   7.43882774  14.21894174   8.06520678]
"(-2, -1, 1)",[ -7.59588103 -12.58076388  -4.90696466  -6.91175635]
"(-2, -2, 1)",[ -7.09135819 -31.41946162   0.33223731 -16.72857897]
"(-2, -3, 1)",[ -9.9418476   11.91862226  -7.16554975 -13.94054719]
"(-1, -2, 2)",[  8.57972196 -13.79952394   8.0959021   15.17123481]
"(-1, -1, 2)",[  9.25173231 -31.46408336  13.55946458   1.52061942]
"(-3, -2, 2)",[  8.03046125 -18.12432885   9.38282954  10.51554829]
"(-2, -2, 2)",[ -5.88700424  -6.63440885  -6.58950597 -23.65856324]
"(1, 0, 0)",[10.76427315 11.2974278  11.20599262 13.62126322]
"(3, 1, 3)",[  9.50440371  11.02300298 -14.76684166   9.98356763]
"(2, 1, 3)",[-14.3933948   -4.99751819  -5.56054325  -5.02992078]
"(2, 2, 0)",[-31.90404268  -6.36232382 -12.82310591  -6.53275415]
"(4, 3, 3)",[2.30837687 2.96607144 1.25882066 2.72426864]
"(6, 4, 0)",[2.45043667 2.55148646 2.16205022 2.63672394]
"(7, 5, 0)",[14.32311592  0.04744692  9.46740066 -0.46255076]
"(7, 6, 4)",[  3.55067671  -0.83631911   8.30574755 -13.86050851]
"(5, 5, 4)",[  9.7793508    0.22044705   9.58579592 -12.82365563]
"(4, 5, 4)",[-5.77009748 -5.54714113 -5.66527692 -6.61545037]
"(4, 4, 4)",[-4.75901557 -4.6895364  -4.29859136 -5.33333015]
"(2, 3, 4)",[-23.87721402  -5.90469464  -9.70339226  -8.92923801]
"(1, 3, 4)",[  8.83569499   8.81298683  13.74500907 -50.60783397]
"(3, 3, 4)",[  8.59890898   6.74347857   7.47417728 -14.5309712 ]
"(5, 4, 4)",[ 9.38784775  9.72463798  9.65486301 -4.01715984]
"(7, 5, 4)",[ 14.41058635   1.08129146   6.95654771 -10.78036499]
"(7, 7, 4)",[ -0.21500697  -1.05241773   0.84428195 -13.98698583]
"(5, 6, 4)",[  8.09970517  -0.85920731   4.13341421 -15.90707205]
"(2, 4, 4)",[-11.88859837  -8.99858142 -26.89797608 -10.21022492]
"(6, 5, 4)",[-1.98518956 -1.96656862 -1.82449436 -9.03392992]
"(2, 3, 3)",[-8.4479346  -5.35626974 -5.47668295 -5.65803892]
"(4, 4, 0)",[-4.38328962 -4.12823187 -4.41628775 -4.27791965]
"(3, 4, 0)",[7.50770653 7.29492094 7.61156679 6.70546206]
"(3, 3, 1)",[-6.18248725  3.06672581 10.09007708  9.80576783]
"(1, 2, 0)",[-6.33952963  6.66453063 20.12728648  6.7509726 ]
"(1, 1, 0)",[15.27578345 10.14389309 62.70463853  8.43045246]
"(3, 2, 0)",[6.48987316 6.3580319  5.40343804 6.44891254]
"(3, 1, 0)",[10.18128425  9.24261029 18.77245294  9.01490722]
"(5, 2, 0)",[14.62563235 14.78393499 20.17569943 14.50521855]
"(7, 3, 2)",[28.58509249 -6.54486567  4.28519571  0.50323847]
"(7, 2, 0)",[20.82981947 18.73163689 28.44176626 19.7152007 ]
"(9, 3, 2)",[  0.06028798 -10.37207933   8.74981874  -0.3415292 ]
"(11, 4, 0)",[-0.3439     -0.60553909  0.91748019 -0.3439    ]
"(13, 5, 3)",[ 0.  0. -2.  0.]
"(12, 5, 3)",[ 0.    0.    0.   -0.19]
"(13, 6, 0)",[-0.271   -0.19    -0.28715 -0.1985 ]
"(14, 7, 0)",[-0.19   -0.1    -0.1    -0.2795]
"(14, 8, 4)",[-0.19    -0.41801 -0.19    -2.     ]
"(16, 9, 8)",[ 0.  -2.  -0.1  0. ]
"(16, 8, 2)",[-0.1  0.  -0.1  0. ]
"(14, 7, 2)",[ 0.   -5.42 -0.1   0.  ]
"(15, 7, 2)",[ 0.   -2.   -0.1  -0.19]
"(15, 8, 2)",[-0.271 -2.    -0.1    0.   ]
"(13, 7, 0)",[-0.1     -0.19    -0.1085  -0.28715]
"(15, 8, 4)",[-0.1085 -0.1    -0.19   -5.42  ]
"(13, 8, 4)",[-0.1985  -0.1985  -0.19    -8.20635]
"(13, 7, 4)",[-0.19   -0.3439 -0.19   -2.    ]
"(12, 8, 4)",[-0.358435   -0.468559   -0.40959106 -6.8865    ]
"(11, 8, 4)",[-0.44889985 -0.1        -0.36200798 -5.4368725 ]
