"(-15, -10, 5)",[-17.48580714  -1.18403467 -17.58194683   1.9222521 ]
"(-14, -10, 5)",[-16.6653443   -3.30059994 -16.67100142  -2.54439102]
"(-14, -9, 3)",[ -1.19661897   1.62131242 -11.46925429  -0.79578115]
"(-12, -8, 0)",[-0.73336505  0.34591935 -0.687446   -0.83346081]
"(-10, -7, 0)",[-3.50783558  1.31763333 -3.17201634 -3.5539696 ]
"(-14, -9, 1)",[-14.21117675  -0.62540439  -0.84984792   0.15733058]
"(-13, -9, 1)",[-17.07715874   3.43626216   2.33529542   3.55713661]
"(-13, -8, 1)",[-16.85191394   7.74059379   5.11125646   6.71709161]
"(-11, -7, 1)",[-14.95917264   8.99298345   6.16493926   7.43782062]
"(-10, -7, 1)",[-10.68105851   0.38760812  -3.8855966   -4.16354942]
"(-10, -6, 0)",[-1.5584845  -1.74918576 -1.72589558  6.40762738]
"(-11, -6, 1)",[-10.89153533  12.37905352   9.70552164  12.31079656]
"(-12, -7, 1)",[-9.25801661  1.13962747  0.53014856  5.74815891]
"(-12, -8, 1)",[-12.27237264  -0.68633204  -2.34112329  -1.90528442]
"(-12, -7, 0)",[1.65243804 4.80048829 1.86618455 1.64044817]
"(-12, -8, 6)",[ -0.56226416  -8.1902     -10.50447517   0.1460156 ]
"(-14, -8, 6)",[ 0.35599282 -8.24914741 -6.95923621 -0.48764155]
"(-13, -8, 6)",[ 2.06116086 -8.25873257 -5.44182876 -0.13734648]
"(-13, -9, 3)",[ -1.11407191   0.06855555 -17.79473013   3.47611412]
"(-13, -8, 0)",[-1.07530576  1.03038232 -1.01518911  7.41977964]
"(-15, -9, 3)",[ -0.36216311  -0.37547068 -13.98561595   1.09012757]
"(-10, -6, 3)",[ 0.69022106  4.07164118 -9.02245921  0.81365149]
"(-10, -5, 0)",[ 4.84585463  6.29204339  6.33364115 17.39409607]
"(-10, -4, 0)",[11.66742464 33.90714749 11.58157372 17.65857712]
"(-10, -3, 0)",[21.04423668 45.83330993 20.13268133 21.56809654]
"(-12, -4, 0)",[18.71187121 21.27341015 15.36490795 34.34494871]
"(-12, -5, 0)",[12.14703404 19.59811738 11.44229927 14.87125362]
"(-11, -4, 0)",[17.42976019 18.48775698 17.46644401 17.67651773]
"(-12, -5, 3)",[  4.46845049   7.86634359 -12.23139808  21.92517699]
"(-14, -6, 5)",[-3.8  0.   0.  -0.1]
"(-8, -2, 0)",[20.77016627 52.99870867 20.66761675 25.89995779]
"(-8, -1, 2)",[26.86201266  7.27990154 27.96413221 39.6138774 ]
"(-6, 0, 0)",[51.90412078 22.65715245 24.98066874 23.81731986]
"(-4, 1, 0)",[60.5176245  15.28925288 16.68923726 13.90186856]
"(-4, 0, 0)",[26.83217939 29.58087297 58.19997414 28.01701328]
"(-4, -1, 2)",[17.07411116 -0.81675387  2.77619874  0.40042131]
"(-3, 0, 0)",[25.50899735 21.20084835 25.29265163 18.09328413]
"(-2, 1, 3)",[3.31922932 4.35090422 1.63952022 3.30720094]
"(0, 2, 2)",[-14.90260454  -1.86734952  -3.74104436  -2.38819147]
"(1, 3, 2)",[18.79798176 -0.56248628  0.67932235  9.39689565]
"(-1, 2, 2)",[25.58482578  5.46178528 18.80538838 19.04936961]
"(-2, 2, 2)",[12.54195764 12.38140824 13.59549576 12.9610303 ]
"(-4, 1, 3)",[24.45909462 20.21264868  9.77266215 20.55956461]
"(-3, 1, 3)",[44.82391685 18.70273715  7.05226553 18.47477778]
"(-3, 2, 0)",[20.16331036 21.196646   34.75636068 20.90170299]
"(-3, 1, 0)",[21.21450219 18.78631347 37.18832985 17.17422999]
"(0, 3, 2)",[-14.36414821  -0.74759725   2.09222559   2.45347104]
"(3, 4, 2)",[  9.29004221 -10.19965356  10.85807925   8.90918669]
"(5, 5, 2)",[ 10.32190847 -11.27860886  10.11638111   1.33246538]
"(6, 5, 2)",[-1.98422172 -8.49960018 -1.99723998 -1.97790789]
"(5, 4, 2)",[ 9.97598303 -7.2129758   8.98961001  7.32503305]
"(4, 3, 0)",[ 1.55716578 -3.61218047 -3.7057205  -3.22939073]
"(4, 2, 0)",[-2.37366711 -0.10625045 -1.47667856 -1.97318519]
"(5, 3, 2)",[10.08048275 -4.80472706 10.87251965 10.01560088]
"(7, 4, 2)",[12.60994389 -7.83088172  1.47393639  1.23591335]
"(5, 3, 0)",[10.1980037  10.39135364 11.93161716 10.16025009]
"(7, 4, 0)",[12.01691073  4.92501071 11.84315542  7.51767177]
"(3, 2, 0)",[11.82692649  9.38910856  9.34876658  7.92992693]
"(3, 1, 0)",[13.4103688  10.57751399 11.24834353 10.33927767]
"(1, 0, 0)",[13.39624497  8.8858202  29.95896234  8.86788436]
"(1, -1, 2)",[  9.06303216 -46.93291639  11.95918967  12.31754806]
"(1, -2, 0)",[11.87699254 26.93937304 11.48639214 11.59518872]
"(-1, -3, 0)",[ 5.80393269 15.34694935  5.67538159  8.04123615]
"(-1, -2, 0)",[10.00196425  9.95867148  9.58378879  9.95980491]
"(-3, -3, 0)",[ 8.36378179  7.8075433   8.73587282 12.80270566]
"(-5, -4, 0)",[ 7.78616334  8.78078353  7.51303355 16.88348128]
"(-7, -5, 0)",[ 6.02801163 12.18573141  7.08769349  7.626338  ]
"(-7, -6, 5)",[-1.82613564  0.06885869 -5.38908295  2.58597836]
"(-6, -5, 0)",[-5.50257029 -5.54645409 -5.47548998 -6.48912012]
"(-6, -6, 3)",[ -7.3988844   -7.36273188 -10.70103291  -5.62817136]
"(-6, -7, 0)",[-9.26278251 -9.08493539 -9.05982043 -8.2605826 ]
"(-4, -6, 0)",[-11.12512746 -10.62674201 -11.19495235 -11.4635434 ]
"(-2, -5, 0)",[-15.45153854 -43.87417647 -12.75265338 -15.9968605 ]
"(0, -4, 0)",[-23.6313605  -14.30063139 -14.37657935   2.58935444]
"(2, -3, 0)",[-7.60168709 13.77083654 -0.20779506 18.82984601]
"(2, -2, 4)",[ -1.14770481  20.53063074 -15.99780563   8.809286  ]
"(-3, -2, 1)",[-22.30669999  16.97533107  10.53010704  10.67431416]
"(-2, -2, 1)",[ -7.56833811 -13.81572365  -5.2916389  -26.73998212]
"(-1, -1, 0)",[11.5359132  47.071336   13.80432186 10.5149385 ]
"(-2, -2, 0)",[ -6.81297268 -16.74821242  -6.87216442 -12.96651918]
"(-4, -3, 0)",[-4.85602055 -2.32604412 -4.99990257 -4.37607165]
"(-3, -2, 0)",[11.99523053 18.09116845 11.31496117 27.12016688]
"(-3, -1, 0)",[13.79173743 13.86971175 16.3397997  13.35949661]
"(-5, -2, 1)",[-12.02676148  24.44499102  15.72357132  15.85640158]
"(-1, 0, 0)",[10.39717855 10.84784129 16.60610575 10.74809519]
"(-3, -3, 1)",[-23.13460364  13.91916516   7.93217601  11.26856814]
"(-2, -3, 1)",[ -8.33411744 -21.60157466  -8.10697114 -22.11641366]
"(-4, -4, 1)",[-10.33896065  -7.24371446  -7.53043032  -5.2903094 ]
"(0, -2, 1)",[ -1.3080219   -9.01126383 -13.55612441  -1.57425925]
"(-2, -4, 1)",[-14.47940566 -10.41623644  -9.6096675  -10.43509066]
"(0, -3, 0)",[-23.37035757 -20.97239999 -20.46174058   2.67224349]
"(1, -3, 0)",[13.33873185 20.11587244 13.40162106 15.3606912 ]
"(3, -1, 0)",[18.19783216 17.56341295 18.37093791 43.94900734]
"(5, 0, 0)",[39.75134586 19.92409364 22.19294044 18.46045132]
"(5, 1, 0)",[19.55423795 14.5479754  17.21313844 15.47500537]
"(6, 2, 0)",[14.61190517 12.31844358 17.65107408 12.01599802]
"(8, 3, 0)",[16.16207463  3.38732552 15.88549214  6.52526479]
"(10, 4, 0)",[ 0.79574523 -0.67009379  5.66209718 -0.36868964]
"(10, 3, 0)",[12.49393679 -0.59718132  5.23176164 -0.65066241]
"(8, 2, 0)",[38.19620681 10.50216234 25.41181831 12.28745157]
"(10, 2, 0)",[16.0008522   0.77798471 23.1190753   0.84645949]
"(12, 4, 1)",[ 0.        -0.1        0.2416978  0.       ]
"(13, 5, 2)",[-0.271  0.     0.     0.   ]
"(11, 4, 1)",[-3.79684936  0.          0.02411422  0.        ]
"(10, 4, 1)",[ 0.    0.   -0.19  0.  ]
"(10, 5, 2)",[ 1.86309236 -3.81693391 -0.20153221  0.        ]
"(9, 5, 2)",[ 2.95062164 -3.8         0.72955152 -0.29617275]
"(8, 4, 0)",[4.75278927 2.13637221 6.53800595 2.01305165]
"(10, 5, 4)",[-0.27205492 -0.46123496  3.30950267 -8.19424898]
"(9, 3, 0)",[17.24545583  1.05063059 16.28604851  0.79374922]
"(11, 4, 0)",[ 0.77462769 -0.49680364  0.54703736 -0.41103927]
"(7, 2, 4)",[20.62911165 12.28876546 14.40791552 11.32834499]
"(7, 1, 0)",[20.87954014 13.60184432 13.14393391 13.47226684]
"(9, 2, 4)",[12.97391932  1.02132816 12.66742793 -2.25079102]
"(7, 0, 0)",[15.39564337 15.61602516 31.666325   14.62529866]
"(6, -1, 0)",[23.52239783 23.76069164 23.39412187 46.05312495]
"(6, 0, 0)",[20.51030704 21.74558282 21.08186246 34.46946842]
"(8, 1, 4)",[ 5.64678852  4.10103902 25.94464147 -3.48544592]
"(5, -2, 0)",[15.06660197 14.1221895  14.74809353 32.72153156]
"(5, -3, 1)",[-12.67900541   0.08347657   1.98636669  17.68944069]
"(7, -2, 0)",[10.41854016 25.19209743 14.35467914 14.66806679]
"(6, -3, 1)",[-3.8085     -0.12725159 -0.26593657  2.41524946]
"(6, -2, 1)",[-7.98384112 21.7516392   1.05843009  1.87542618]
"(6, -1, 1)",[ 3.73294856 32.89336367 10.38717522 11.2262544 ]
"(4, -1, 0)",[13.77693401 13.7038141  13.73457055 17.22845605]
"(4, 0, 0)",[16.37269913  5.95006613  5.64946268  8.05244132]
"(2, -2, 0)",[ 6.66775091  6.94260579 -4.43433756 16.59166755]
"(5, 1, 2)",[21.90006226 -2.94241359 14.53642252 13.32670233]
"(7, 1, 2)",[14.62782197  2.6696701  13.52623381 13.00207126]
"(8, 2, 4)",[ 3.91181342  5.13627676 22.52432098 -1.97317984]
"(10, 3, 10)",[ 0.85476405  0.          0.         -2.        ]
"(9, 3, 10)",[ 2.11120444 -0.19        0.         -2.        ]
"(11, 4, 10)",[ 0.02411422 -0.19       -2.         -2.        ]
"(13, 5, 4)",[-0.21022321 -0.19       -0.22450182 -6.878     ]
"(13, 6, 4)",[-0.1985   -0.468559 -0.1      -6.89415 ]
"(14, 7, 10)",[ 0.    0.   -5.42  0.  ]
"(15, 7, 10)",[-0.28715  0.      -2.      -2.     ]
