"(-9, -2, 1)",[10.88019282 21.59308226 17.26443461 17.5906406 ]
"(-7, -1, 0)",[19.81873189 62.18204326 18.52673928 20.8927223 ]
"(-9, -2, 0)",[15.71417377 15.80723481 15.59736756 30.51721365]
"(-9, -1, 0)",[17.0125644  17.02487904 18.59107224 52.36188084]
"(-10, -2, 0)",[18.47468903 74.52046105 17.67931166 19.3736139 ]
"(-10, -3, 0)",[16.64904002 36.48267023 16.43471266 16.66026691]
"(-10, -4, 0)",[13.86746954 15.66587613  9.41161301 16.51435398]
"(-12, -4, 1)",[ 5.48166588 20.33587463 16.05264673 15.99715367]
"(-12, -3, 1)",[10.74673834 19.04559733 19.62453767 22.8730433 ]
"(-11, -2, 0)",[25.94833333 27.41155046 26.65268672 26.68360892]
"(-11, -3, 0)",[16.34462559 16.96409832 16.53183146 16.54864987]
"(-9, -3, 1)",[ 4.63772719 19.12040027 18.61697354 18.42983237]
"(-9, -1, 1)",[ 7.78675392 23.71587489 18.56190514 18.79280791]
"(-7, 0, 0)",[20.93115687 16.88282686 35.30206058 17.47356797]
"(-5, 1, 4)",[18.42876598 18.93395664 21.46928089 14.41311366]
"(-5, 0, 7)",[ 7.00906452 20.04427717 19.60399571  7.14449069]
"(-6, 0, 7)",[ 5.12363687 17.04915747 18.11809078  2.8892961 ]
"(-4, 1, 4)",[20.83514988 17.80709417 20.76506219 20.75511034]
"(-3, 1, 4)",[17.59316366 18.64559909 79.11289674  3.50730608]
"(-2, 1, 4)",[ 8.37759051  4.19692321 28.94191837  6.61656549]
"(-4, 0, 0)",[10.6871419  27.6477717  13.90452163 19.32137992]
"(-2, 2, 4)",[17.15198303  3.79359922 29.26153995 16.96553242]
"(-1, 1, 4)",[ 12.50146877  12.87868923  36.68107833 -14.06514532]
"(0, 2, 4)",[ -7.90073615  -7.63722835 -15.11345753  -7.98795999]
"(-2, 1, 0)",[ 2.54753147  3.48254537 50.27718504 -1.5926463 ]
"(-2, 0, 0)",[ -4.39399442 -29.95792475  -5.88785145  -5.25311249]
"(-2, -1, 0)",[ -5.96777831 -32.16120856  -5.00294465 -10.99861327]
"(-2, -2, 0)",[ -6.86387369 -16.45537142  -6.66509421  -7.20051169]
"(-4, -2, 0)",[-5.23540803 -4.25336566 -6.15213457 -4.69156439]
"(-4, -3, 0)",[-5.68755963 -5.60491753 -5.87644662 -5.393523  ]
"(-4, -3, 1)",[-14.41957703  -7.27927988  -6.14231843  -7.01688596]
"(-4, -2, 1)",[-5.96558842 -5.96406721 -5.35325393 -5.9807433 ]
"(-2, -1, 1)",[-13.02674507 -18.6327502   -5.18883353 -19.58372068]
"(-1, -1, 1)",[-20.60857526 -20.43320668   5.30916913   2.04408741]
"(-1, -2, 1)",[-24.46492673   0.74165659   1.77533662   3.72857473]
"(-2, -3, 1)",[-14.99323037 -26.05700229  -8.94436537 -12.6372026 ]
"(-2, -4, 1)",[-14.85963198 -29.14186015 -11.21657426 -30.2613248 ]
"(-4, -5, 1)",[-17.06235502  -8.72395934  -8.23935763  -9.20034942]
"(-4, -4, 0)",[-7.4534715  -7.22983907 -7.21326548 -7.15943581]
"(-2, -3, 0)",[ -9.34909272 -10.54302172  -8.64815417 -15.82722646]
"(-1, -2, 0)",[ 2.70816862  7.68430155  1.82354296 19.36818386]
"(-1, -1, 0)",[ 8.76774667 24.02413093  7.39189138  8.1981972 ]
"(0, -1, 0)",[-23.99378193 -10.78294897 -10.84152909   4.05818839]
"(0, 0, 0)",[ -4.8643987  -20.79009747 -13.7837078  -19.49812501]
"(0, 1, 0)",[ 0.10040798 -9.08409989 -5.85904297 -7.75398414]
"(-1, 0, 7)",[-27.45414913   0.54346024   2.52201983 -23.11465223]
"(-3, -3, 1)",[-26.89511947   1.66137806   1.14746378   1.67080571]
"(-3, -2, 1)",[-25.09433922  -1.07287903  -0.02574791  -1.11553472]
"(1, 0, 7)",[-38.01376642 -13.57659639   0.26271396 -25.20166498]
"(-2, -2, 1)",[-10.7202117  -11.45240166  -6.73591673 -11.17288745]
"(-3, -1, 0)",[ 9.65790564 46.44403658 12.51135753 18.75423813]
"(-3, -2, 0)",[1.34347485 8.19777295 4.08052807 5.78695786]
"(-5, -3, 0)",[ 2.37727948 10.27682977  2.18047293  2.60075716]
"(-5, -3, 1)",[-19.39438449  12.26443046   1.96817978   4.18038775]
"(-6, -4, 1)",[-12.308632    -6.82410829  -5.34133594  -6.20965555]
"(-8, -5, 1)",[-12.21781107  -5.99077121  -5.50936474  -6.23032459]
"(-8, -4, 1)",[-5.85361086 -3.98391908 -4.19038033 -4.07393863]
"(-9, -4, 1)",[-6.27377162 22.7961101  15.81908679 17.31290705]
"(-7, -3, 0)",[15.70740362 25.84109515 16.75482844 22.67789716]
"(-7, -2, 0)",[19.26261214 23.05519321 19.81620062 32.5443283 ]
