"(-12, -4, 1)",[17.74712929 54.92201391 29.88354607 40.07118478]
"(-13, -4, 1)",[16.44629219 36.63193562 27.10130673 47.71515618]
"(-11, -3, 1)",[27.89907889 53.3660199  37.21799662 44.73563348]
"(-11, -2, 1)",[40.46211455 77.13506553 37.56182384 38.33570633]
"(-9, -1, 0)",[ 48.01039051 164.56633002  47.16334066  56.48548398]
"(-9, -1, 1)",[34.60124515 47.75802676 53.12131205 41.03917191]
"(-7, 0, 0)",[52.61136203 61.65776811 61.46685271 67.23616608]
"(-8, -1, 1)",[27.77803956 67.07915741 47.28135833 46.94889711]
"(-10, -1, 1)",[29.56863551 58.15425604 75.55892825 49.06793535]
"(-9, 0, 7)",[-6.02408861  6.05634895 42.4561974  -6.32467781]
"(-8, 0, 7)",[-0.44778069 19.28906198 43.89664098  3.73219619]
"(-7, 0, 7)",[13.79740233 39.89078405 46.10460978 20.88563932]
"(-7, -1, 1)",[28.02436591 36.35725708 40.1451364  31.4105656 ]
"(-5, 0, 0)",[37.52820847 50.65511234 36.27290193 39.49713851]
"(-4, 1, 0)",[75.70837445 36.86245338 42.51011701 34.96211823]
"(-3, 2, 4)",[25.2367082  25.47024809 38.47981581 22.82915991]
"(-4, 1, 4)",[37.00498902 35.91915893 72.23771485 35.24637921]
"(-5, 0, 7)",[20.1021077  43.99909462 23.79162084 20.95316357]
"(-6, -1, 1)",[27.09305146 41.35843252 27.98044281 28.3606253 ]
"(-4, 0, 0)",[22.6242544  10.97875807 57.38951339 22.46213809]
"(-4, -1, 0)",[ 3.85011661 75.42704765  2.63946892  1.04736125]
"(-5, -2, 0)",[15.10930534 15.40454533 12.92129448 15.46172147]
"(-6, -1, 0)",[ 38.3115455  190.57997951  37.37655236  33.94140091]
"(-6, 0, 0)",[ 53.74065096  46.038253   116.51028974  47.71550973]
"(-8, -1, 0)",[ 57.04781293 103.2038784   53.54671168  67.05960968]
"(-7, -1, 0)",[44.9518216  51.87037564 44.15307896 45.00154343]
"(-7, -2, 1)",[24.42304886 44.19384448 29.75013324 28.93344076]
"(-8, -3, 1)",[14.02853603 40.54466168 16.99412153 21.88039259]
"(-9, -3, 1)",[18.74201904 48.96348236 32.45925699 34.40521938]
"(-7, -2, 0)",[32.0391839  35.01554202 30.092608   37.25692364]
"(-7, -3, 1)",[ 8.07835646 23.14944421 16.28935779 21.40299016]
"(-3, -1, 0)",[12.40223639 13.06866298 12.60539953 12.62438804]
"(-4, -2, 0)",[-4.90709476  2.44553025 -5.24608499 -4.96628802]
"(-4, -3, 0)",[-6.8693053  -7.4333535  -7.15852414 -7.2270675 ]
"(-2, -2, 0)",[ -6.81887494 -54.04707474  -9.44888718 -26.68823873]
"(-6, -4, 0)",[-5.74107601 -5.67516493 -5.82452709 -5.62031042]
"(-6, -3, 0)",[-1.72653371  5.05057614 -1.76238911 -1.50880328]
"(-8, -4, 0)",[1.75024392 2.33280656 1.84541238 2.00847729]
"(-8, -5, 0)",[-3.54129068 -3.52442595 -3.76471691 -3.64672067]
"(-6, -5, 0)",[-7.29843442 -7.09435638 -7.28779893 -6.5798474 ]
"(-8, -6, 1)",[-12.94603233  -4.30115412  -5.25671229  -4.91181683]
"(-7, -6, 1)",[-22.43569961   2.48872976   0.97448486   3.68536421]
"(-5, -5, 0)",[ 0.45726116  7.32100088 -0.3782367   0.61563811]
"(-6, -5, 1)",[-13.35558561  -6.48358782  -7.43283937  -7.3903539 ]
"(-7, -5, 1)",[-19.69331967   6.21357918   4.37805187   5.03491216]
"(-4, -4, 0)",[-8.85891136 -8.66864008 -8.7628751  -4.70098705]
"(-2, -3, 0)",[ -5.77388845 -27.6489676  -11.12495131 -47.24572183]
"(-4, -4, 1)",[-12.38429333  -7.64235954  -8.8333252   -9.10218612]
"(-3, -4, 1)",[-28.18528378   4.36326695   4.3178789   12.57957368]
"(-3, -3, 0)",[ 6.6976457   8.56093727  4.69496012 13.80700455]
"(-3, -2, 0)",[ 8.1466195   6.23911674  5.3805175  10.16150237]
"(-3, 0, 4)",[14.70266638 14.71794301 14.63577743  0.5866471 ]
"(-1, -1, 0)",[ 9.88146212 -1.32001737  9.18411011 10.81308537]
"(-1, -2, 0)",[ 8.01936717 21.94646378  7.59955572 13.38331809]
"(-1, 0, 4)",[  5.11261276  16.30601818   7.20574009 -12.41231272]
"(-1, 0, 2)",[11.65360066 -8.05373913 11.84395353 14.33478272]
"(1, 0, 2)",[10.34763373 -7.56762418  8.31478075 26.47969625]
"(1, 1, 0)",[10.98063988  6.09854114 66.44224825  8.87848402]
"(1, 0, 0)",[13.59629379 22.21860412 12.5544351  14.37418708]
"(-1, -1, 1)",[-42.44101338  12.60377929   5.65666841   7.21858931]
