"(-5, -5, 1)",[-28.23199604  -5.23774412  -5.51586003  -0.87520552]
"(-7, -6, 1)",[-27.31326579  -5.21225924  -5.26575581  -2.91861361]
"(-9, -7, 1)",[-26.32560168  -5.06088406  -5.15138351  -4.30557004]
"(-8, -6, 0)",[-7.17766591 -8.09793245 -7.84493607 -8.37202886]
"(-9, -8, 1)",[-26.98686026  -5.64482721  -5.61628089  -5.01839497]
"(-8, -8, 1)",[-24.45622699  -9.38280364  -8.75826723  -9.67640795]
"(-7, -7, 3)",[ -5.30322592  -5.29996008 -26.7637211   -4.94201934]
"(-5, -6, 0)",[-5.85547669 -5.77191216 -5.70972615 -4.67145598]
"(-3, -5, 2)",[ -6.02751378 -28.68105048  -6.06731772  -5.28541486]
"(-4, -5, 2)",[-11.36523195 -23.19617396 -12.10681971 -12.06621612]
"(-1, -4, 2)",[ -3.63185917 -34.14938304  -6.49955845 -11.58620003]
"(-2, -4, 2)",[-15.47722525 -23.88781856 -13.19929291 -23.44418882]
"(0, -3, 2)",[-38.66693898 -20.6341817  -21.95437619 -13.2789079 ]
"(-1, -3, 2)",[ -4.53180508 -37.2150859   -5.57196451   1.11485765]
"(-2, -3, 2)",[-15.3847241  -22.13983601 -12.78186527 -24.53108872]
"(-3, -4, 2)",[ -5.87282601 -29.33921285  -6.054366    -1.10268815]
"(-1, -5, 0)",[-5.85168648 -4.77020261 -5.06858838 -1.04313754]
"(-1, -6, 0)",[ -5.81559831 -11.90424219  -6.19284271  -1.02246357]
"(-1, -5, 2)",[ -9.39099034 -46.35462886  -4.01208176 -19.7759792 ]
"(1, -4, 2)",[ -3.99014947 -39.13115201  -4.66314587   4.34017174]
"(1, -3, 2)",[ -2.73570978 -80.78756901  -5.11872419   3.21462542]
"(3, -2, 2)",[  0.23033631 -18.63998042   1.28018518   5.48168732]
"(3, -3, 0)",[-0.16976596 -0.63889276 -0.56424974  5.63062169]
"(3, -4, 1)",[-18.1936233    5.8088567   -0.80497609  -0.43810798]
"(1, -5, 1)",[-90.12984166  -1.33696211  -6.26373049   1.12106882]
"(1, -6, 1)",[-59.46803452  -2.35770298  -7.77376297  -0.99516201]
"(1, -5, 0)",[ -4.50812688   0.11253245 -23.31750849   2.25977727]
"(0, -6, 1)",[-24.21647303  -9.48009228 -16.73690796  -5.26829255]
"(2, -5, 0)",[-48.07140167  -3.13832778 -32.14751251  -4.23243808]
"(2, -5, 1)",[-19.57346512  -2.48984822 -40.70842441  -2.49565477]
"(2, -4, 1)",[-18.77410168  -2.87222954  -6.41238164  -2.89555047]
"(2, -3, 1)",[-16.63856777  -2.44571599 -17.94024364  -3.98543956]
"(5, -3, 1)",[-14.89952691   6.97963712  -0.41168195  -0.30786523]
"(4, -3, 1)",[-15.52366925   2.59295646  -0.85684694  -0.68860845]
"(4, -2, 0)",[-0.60736629  0.5088884  -1.0976285  -0.97842769]
"(6, -1, 0)",[0.46426375 4.39253175 1.57299761 0.95636541]
"(7, 0, 0)",[2.16391259 3.18794651 5.53573731 1.35871876]
"(5, -1, 0)",[2.84206803 2.1905478  2.42232029 4.05811338]
"(5, -2, 1)",[-16.34815241   1.25359922  -0.48941706   0.153049  ]
"(7, -1, 7)",[-12.26705532  -2.19830058   1.48784261 -11.08408727]
"(8, -1, 7)",[-5.42       -0.37663234 -0.20894307 -3.8       ]
"(8, -2, 1)",[-5.44896503  0.21303038 -0.1        -0.20355867]
"(9, 0, 4)",[-0.9825252  -1.05381086  6.96292235 -9.72755274]
"(9, -1, 7)",[-3.80778845 -0.77854055 -0.1835332  -5.43216214]
"(8, 0, 4)",[-0.51921012 -0.38891231  8.09267048 -9.13154846]
"(6, -2, 0)",[ 0.36487337  0.22775211  0.20930102 17.36062863]
"(7, -1, 0)",[-0.14093311  0.47393752  0.83397836  5.49761474]
"(5, -2, 2)",[ -0.38067552 -15.5721139   -0.32301772  16.01079701]
"(4, -2, 2)",[ -1.05738259 -11.90676141  -0.90936951   5.19692362]
"(4, -1, 0)",[-3.23793013  0.5863519  -3.1737518  -3.29009192]
"(4, 0, 0)",[-4.50501208  0.81512529 -4.34724957 -4.65777726]
"(2, -1, 0)",[-13.79454747  -8.37166786 -20.9427937   -8.63482148]
