"(-18, -12, 5)",[-19.83523847  -4.98081604 -19.54872883  -4.16027155]
"(-17, -11, 5)",[-14.7378272    2.05350311 -18.5074431   -2.11829258]
"(-16, -11, 5)",[-16.719412    -4.58963493  -7.64061123  -3.69959055]
"(-16, -10, 1)",[-3.54695518 -1.48508476 -1.48658189 -1.33000096]
"(-14, -9, 1)",[-10.64259499  -3.69490516  -3.92529102  -2.50925014]
"(-13, -9, 1)",[-7.01048512  5.9322483  -1.46391726 -1.8305114 ]
"(-11, -8, 1)",[-6.26805701  7.76439233 -1.86466313 -1.32340227]
"(-10, -7, 0)",[-3.73493123 -4.45863015 -4.50315926 -4.45264649]
"(-8, -6, 0)",[-3.52320834 -4.81705028 -4.76749402 -4.79175819]
"(-8, -7, 0)",[-6.18647624 -5.64834547 -6.19784964 -6.20500718]
"(-8, -8, 3)",[-6.44448101 -5.68506698 -6.63343371 -6.4396375 ]
"(-8, -8, 0)",[-6.69036751 -6.51763904 -6.75296546 -6.71534644]
"(-8, -9, 3)",[-6.70238395 -6.74031582 -6.89095162 -6.82360792]
"(-6, -8, 0)",[-7.10207079 -7.20475998 -6.8205881  -7.21969392]
"(-6, -7, 0)",[-6.55140373 -7.08451295 -6.93387101 -6.7163062 ]
"(-4, -6, 0)",[-6.26264484 -7.40486387 -7.67718509 -7.39548563]
"(-4, -7, 0)",[-7.01108448 -8.32042481 -8.23094488 -8.24042631]
"(-4, -8, 0)",[-6.92768485 -7.69695989 -7.36303627 -7.78295852]
"(-4, -8, 1)",[-9.96020571 -9.30875267 -8.54917033 -8.83242969]
"(-4, -9, 1)",[-10.23858356 -10.43666821  -7.1510904  -10.06029072]
"(-4, -10, 5)",[-15.83509004 -13.9929116  -12.41584358 -13.64098403]
"(-6, -11, 5)",[-8.10188231 -6.76295271 -9.05738729 -7.87870401]
"(-4, -10, 3)",[-6.92184472 -8.98438284 -9.05084527 -8.78646248]
"(-3, -10, 3)",[-2.02596325  5.18685301 -4.50238289 -3.07838082]
"(-3, -11, 5)",[-8.05246228 -7.45945176 -9.93736507  1.81682459]
"(-1, -10, 3)",[ -4.50763175 -20.38096412 -14.4087901    4.87438298]
"(1, -9, 3)",[ -3.07609012   6.83034221 -22.63875433  -1.26811907]
