"(-12, -3, 1)",[ 57.745265   137.96882416  92.98456714 106.06854137]
"(-10, -2, 1)",[ 68.90493774 126.70128924  97.53043849  98.03538818]
"(-10, -1, 1)",[ 91.83292211 104.98069112 118.77618852  86.85335389]
"(-8, -1, 1)",[ 76.7252942  123.36724783  96.82484295  77.45690476]
"(-8, 0, 1)",[ 71.13997811  84.7132543  103.16696814  63.77630804]
"(-9, -1, 1)",[62.00269783 50.40720422 65.09461666 51.43393622]
"(-7, 0, 1)",[61.82464217 51.18694813 54.01989676 49.39082119]
"(-5, 1, 1)",[49.43253785 48.76204102 52.11178067 36.74452556]
"(-5, 0, 1)",[48.46603448 55.21544326 47.127763   49.40260199]
"(-5, -1, 1)",[44.51381585 70.66252557 43.50242505 44.57668976]
"(-5, 0, 0)",[ 47.32675338 102.9807318   47.15600379  56.07553721]
"(-5, -1, 0)",[47.03246431 55.10633965 45.48325752 64.73343138]
"(-5, -2, 1)",[36.41756037 49.38699594 41.00179099 40.75648008]
"(-3, -1, 0)",[ 57.7715138  146.54697812  56.33002778  67.37229482]
"(-3, 0, 0)",[71.67867057 79.06727909 73.98935535 74.43709967]
"(-12, -2, 1)",[ 77.16614613 161.18414102 101.91729169 101.56585806]
"(-11, -2, 1)",[94.00826099 71.097683   62.85016702 68.57793449]
"(-13, -3, 1)",[93.97391361 74.26948337 64.71244726 75.40114229]
"(-15, -4, 1)",[ 3.99283648 14.40821604  6.75560167 74.93821574]
"(-14, -3, 1)",[ 15.91385487 142.63096916  39.89188177  34.26239305]
"(-11, -1, 1)",[82.23063469 67.43543151 70.71548333 58.0747714 ]
"(-13, -4, 1)",[51.63975767 56.49967534 50.45659539 63.43119523]
"(-11, -3, 1)",[71.54587425 56.17508704 48.903931   55.13275949]
"(-10, -3, 1)",[ 53.00446636 105.16214234  76.60768859  83.04573669]
"(-9, -3, 1)",[64.1760824  44.28878903 44.61490115 44.70360893]
"(-10, -4, 1)",[38.13448379 79.56846603 51.77782717 69.17255098]
"(-10, -5, 1)",[34.93345299 35.51637693 35.63688277 64.58851711]
"(-8, -4, 1)",[31.71801285 69.20953857 34.00914305 41.97092384]
"(-8, -3, 1)",[47.27276263 88.28645267 59.76430375 64.59780969]
"(-6, -2, 0)",[46.015211   96.5865207  56.35492121 60.16786084]
"(-7, -3, 1)",[44.69178828 41.05406866 39.86769588 41.10317274]
"(-5, -2, 0)",[45.33942293 46.2481563  43.39844775 65.35969127]
"(-5, -3, 0)",[42.27063537 54.57058983 44.39919332 64.09052988]
"(-7, -4, 1)",[34.18711911 37.92821819 37.87430404 36.96335028]
"(-5, -3, 1)",[26.140805   40.8556588  36.90126239 43.92126357]
"(-9, -4, 1)",[41.36634437 41.3111951  39.12691442 44.49052261]
"(-11, -5, 5)",[27.97215093 43.14226625 32.61325442 46.14937733]
"(-11, -6, 5)",[23.93007495 36.02311608 31.51020063 35.46894087]
"(-11, -5, 1)",[32.29351797 40.52894854 33.45586338 41.43988211]
"(-12, -5, 1)",[39.21966936 64.24132171 47.60578826 74.97916696]
"(-10, -2, 0)",[107.31381972 142.13984764 113.60367871 154.75832239]
"(-12, -4, 1)",[ 49.53102488 102.12831668  67.32991769  73.35075608]
"(-12, -5, 5)",[26.80964924 37.06515477 31.2538634  86.68229741]
"(-8, -3, 0)",[56.39319764 60.59628589 59.09832185 90.26539985]
"(-4, -1, 0)",[ 32.51033952 138.02049811  35.31084048  38.16164447]
"(-6, -2, 3)",[ 46.2544414   42.80930677  47.15045209 108.46510172]
"(-2, 0, 0)",[ 34.07785047  20.71374143  24.46778451 -20.35735361]
"(-2, 1, 0)",[41.98870435 20.8061951  29.02242613  0.24273004]
"(-2, -1, 3)",[27.74606992 19.02706495 15.49430683 17.12334505]
"(-2, -2, 3)",[ 17.46017202 -10.23632751  34.98522725   7.67411541]
"(-3, -2, 3)",[43.53025255 46.82910033 40.37863906 86.02268946]
"(-1, -1, 3)",[51.31517344 46.53416392 46.12411292 87.09577009]
"(1, 0, 3)",[52.64501314 38.78464357 21.93832863 85.04885651]
"(1, 1, 3)",[55.7918193   9.76622975 24.61488158 34.21158944]
"(-1, 0, 3)",[59.00850742 40.03582879 56.73368677 95.74310287]
"(-1, -2, 3)",[42.07024407 40.94500268 21.23094249 73.07180516]
"(-1, -3, 3)",[40.67257931 40.6042264  16.89289472 70.57765742]
"(-3, -4, 3)",[33.42662839 43.77284916 13.7416558  46.93336339]
"(-4, -4, 3)",[12.95701964 20.7182044  14.27769318 15.13001791]
"(-4, -3, 3)",[17.28808783 32.35042093 19.048536   19.3435244 ]
"(-6, -4, 3)",[16.70026952 36.39500692 16.76678084 16.69243657]
"(-8, -5, 3)",[22.09444269 43.01332163 20.49768727 20.78097293]
"(-8, -4, 3)",[37.14848872 77.46153403 33.75729287 58.05479345]
"(-7, -4, 3)",[39.03116984 48.15182113 40.77580159 47.41687962]
"(-8, -3, 3)",[ 31.438834    61.37469529  44.64775188 113.52914491]
"(-10, -4, 3)",[ 34.02729993  51.06506288  29.33194796 103.99493474]
"(-10, -5, 3)",[29.8671438  57.66485652 13.41131829 47.87258748]
"(-7, -5, 3)",[29.50541138 41.56029086 22.75277369 41.7304208 ]
"(-7, -2, 3)",[47.05717216 45.15107597 46.24739775 69.07183906]
"(-3, -2, 0)",[ 44.12944569  63.60312161  44.31046864 115.96413238]
"(-5, -4, 3)",[37.81573202 42.26171741 28.55825328 47.03452852]
"(-5, -5, 3)",[18.23083537 41.60825012 10.89920228 40.94531518]
"(-3, -5, 5)",[-5.28781383 13.02026839  3.76906942 36.63036015]
"(-3, -6, 5)",[-5.82191211 10.88084582 -1.7321051  31.29134302]
"(-1, -5, 5)",[ 1.66642069 10.19333373 -1.09644289  4.95926613]
"(-1, -6, 5)",[-30.65711713  -8.74661998 -20.92068712   8.16487405]
"(-1, -5, 1)",[-2.99766217 41.69274067 16.05275821 18.84761028]
"(1, -4, 1)",[ 8.05828888 35.82933277 14.17047586 45.07823689]
