"(0, 2, -6, 1)",[ -3.34480272 -20.27829     -1.38834634   0.04288108]
"(2, 2, -5, 1)",[-1.93529    27.80518443 -0.60588346  5.22071503]
"(4, 2, -4, 0)",[-0.35803698 57.63536574 -1.05837233  1.05232146]
"(6, 2, -3, 4)",[-0.93507588 54.51746689  2.35122273 -2.01      ]
"(8, 2, -2, 4)",[ 0.61237943 -0.20252443  2.9935578  78.2918819 ]
"(10, 2, -1, 4)",[-20.09        39.86772524 -20.          -0.209     ]
"(10, 2, 0, 4)",[-20.48367405   7.06110988 -18.16018948  -1.41031151]
"(8, 0, -1, 0)",[ -0.218      -20.05388167  -0.230539    32.25858551]
"(-1, -8, -9, 5)",[-2.22808335 -1.67496911 -2.24812443 -0.290769  ]
"(1, -6, -8, 1)",[-3.11078111 -2.18086255 -2.17921921  2.99021437]
"(1, -4, -7, 1)",[-4.14900336  0.62074688 -2.08472684 21.78362416]
"(1, -2, -6, 1)",[-0.16297613  0.46901554  2.07920856 40.50351823]
"(-1, -2, -7, 1)",[-1.93237688 -2.21775066 -2.13177994 28.676137  ]
"(-1, 0, -6, 1)",[-1.90476012 -0.08901785 -1.09022003 15.06014197]
"(-1, 0, -5, 1)",[-1.16919431 -0.85250318 -1.09511845 33.35445783]
"(-1, 0, -4, 1)",[ 2.37765646 40.51478296  1.77893956  8.8379803 ]
"(-1, 0, -3, 0)",[-1.45971744 -6.48677411 -1.47229388 25.75383478]
"(-1, 0, -2, 0)",[ 0.23227063 -0.71008901  1.28175885 41.65653001]
"(-1, 0, -1, 0)",[-16.62671397  -3.54054724  -0.64361732  48.2963192 ]
"(1, 0, 0, 0)",[ -3.9079665  -55.22069918   4.14618481  42.63196032]
"(1, -2, -1, 0)",[ 32.08635957 -15.63946764  -2.01868881  10.50551788]
"(1, -4, -2, 0)",[ 0.54643134 -0.96156593 -0.41228661 28.97051328]
"(3, -4, -1, 0)",[ 4.8441233  40.36325704  6.66455732  9.39747699]
"(3, -4, -2, 0)",[ 2.57333614 -1.41099203 -1.31146815 22.11741367]
"(3, -4, -3, 0)",[-1.6557747  16.8733075  -1.67496269 -1.65637254]
"(3, -4, -4, 1)",[-2.77106688 -0.9876279   0.50334872 21.46981046]
"(5, -2, -3, 0)",[ 33.14929957   0.15566699   1.21726445 -38.011     ]
"(5, -2, -4, 1)",[-0.59206487 58.42139578  4.07201528  7.91062332]
"(3, -2, -5, 1)",[ 3.590536   -0.53908788  4.49617022 49.70944298]
"(3, 0, -4, 1)",[ 1.25798015 75.26473982  2.10803838  0.92241273]
"(3, 2, -3, 7)",[-2.         -0.54265342 30.24106343 -1.739     ]
"(1, 2, -4, 1)",[-0.37887911 47.95700749 -0.37809388 -0.33194142]
"(1, 2, -3, 1)",[ 1.71066783 -0.43159108 30.19740848 -0.45147499]
"(1, 2, -2, 0)",[-5.90363383 51.93175473 -2.68343187 13.72805138]
"(1, 2, -1, 4)",[-1.61501627 28.35131941 -1.04968583  1.81769698]
"(-1, 0, -2, 7)",[-3.73791    -1.16043566  8.42150528 -1.12748755]
"(-3, -2, -3, 1)",[-2.20635943 -1.9548383  -1.54632282 20.09381626]
"(-1, -2, -2, 0)",[ 30.94979879 -48.32979834  -1.16455472  -5.30021471]
"(1, -6, -3, 0)",[-0.68243829  3.5940123  -0.53015091 -0.41456846]
"(1, -6, -4, 0)",[-1.2822502  -1.28310388 -1.29867978  0.48953229]
