"(-11, -4, -15, 5)",[-4.06628152 -2.45082088 -3.58453906 -2.24882252]
"(-9, -4, -14, 5)",[-6.43232027 -0.51444211 -7.12321688 -3.64726286]
"(-9, -6, -15, 5)",[-10.97055868  -2.41484366 -11.18716573  -4.13302832]
"(-8, -7, -15, 5)",[-10.8049458   -3.83838734 -13.89015063  -1.16559181]
"(-6, -7, -14, 5)",[-12.75921385  -4.1440333   -7.86066272   3.48988596]
"(-4, -7, -13, 1)",[-13.8948398    5.22719554  -3.6482091   -3.70437579]
"(-4, -9, -14, 1)",[-7.07640571 -1.29697376 -1.99883919 -2.01227817]
"(-2, -9, -13, 1)",[-2.3513996  -1.84365082 -1.98195164  3.09916291]
"(-2, -9, -12, 1)",[-5.34144468  6.20999824 -2.81501538 -2.81825193]
"(-4, -11, -13, 1)",[-2.27923593 -1.9006312  -2.22407004  0.25501598]
"(-6, -11, -14, 1)",[-6.91909049 -1.20691837 -1.20188977 -0.26612439]
"(-7, -10, -14, 1)",[-3.963306   -2.1392807  -2.16865537 -2.1129467 ]
"(-7, -8, -13, 1)",[-10.43862809  -3.82709254  -3.9337239   -0.18207351]
"(-7, -6, -12, 1)",[-8.28626311  1.1037363  -3.99494972 -4.22700305]
"(-9, -6, -13, 1)",[-6.9967523  -0.08357719 -3.85477209 -3.763193  ]
"(-11, -6, -14, 1)",[-8.28485841 -1.20834567 -1.36503919 -1.11189238]
"(-12, -5, -14, 1)",[-2.04535094 -0.38066069  0.         -0.2955225 ]
"(-10, -3, -13, 1)",[-5.47896685 -1.96150315 -1.94482565 -0.74019903]
"(-10, -3, -14, 5)",[-1.59033916 -1.66120653 -1.68786577 -1.09325288]
"(-8, -3, -13, 1)",[-8.51447513 -3.12919938 -3.17796109  1.64533871]
"(-8, -5, -14, 5)",[ -9.93713982  -3.37211144 -10.76336217   2.99317533]
"(-6, -5, -13, 1)",[-13.43409044   4.49081415  -3.58914278  -2.41662547]
"(-4, -7, -13, 3)",[ -3.29977954  -2.77979393 -11.7151643    6.1361104 ]
"(-2, -7, -12, 3)",[ -3.51662972 -12.27367332  -5.76619469   8.02252819]
"(0, -7, -11, 2)",[-1.7327557  -9.59149001 -1.78438178 -0.22218295]
"(-2, -9, -12, 3)",[-2.83045176 -3.04588448 -4.79199142  0.95457134]
"(-2, -9, -11, 2)",[-1.63155417 -3.84120641 -1.62242924 -1.39682035]
"(-4, -9, -12, 0)",[-1.90736283 -2.48840604 -2.541909   -2.51887687]
"(-6, -9, -13, 3)",[-3.53832982 -2.94804659 -8.9261008  -0.03438115]
"(-6, -7, -12, 0)",[-3.54585911 -3.50260351 -3.56747611 -0.40351436]
"(-8, -7, -13, 3)",[ -3.9415674    2.32049667 -11.0487542   -3.88769234]
"(-8, -5, -12, 0)",[-3.03870055 -3.00238282 -2.53201195 -3.00564114]
"(-10, -5, -13, 1)",[-4.62692225 -1.40189329 -3.12593448 -3.10157199]
"(-10, -3, -12, 0)",[-1.34683668 -1.46835156 -1.46884243 -1.3302615 ]
"(-10, -3, -14, 1)",[-7.00153047 -1.09141278 -1.46318228 -1.30298021]
"(-10, -5, -15, 5)",[-6.86174175 -1.13171464 -4.28999198 -3.16502458]
"(-10, -7, -16, 5)",[-5.47647869 -1.83707322 -2.         -1.88736639]
"(-6, -7, -14, 1)",[-14.06254778  -1.88274516  -2.53887312   1.63978524]
"(-4, -11, -14, 5)",[-3.34519732 -3.34629188 -3.56322696  1.18437786]
"(-6, -13, -15, 5)",[-3.74735704 -1.59293104 -6.89480025 -1.42192271]
"(-6, -11, -14, 5)",[-12.57560108  -3.83969592 -10.18439435   1.22359681]
"(-6, -9, -13, 1)",[-7.48023709 -2.5916579  -3.00904333  4.6944487 ]
"(-6, -7, -12, 1)",[-12.00727894   6.97771692  -3.03824671  -4.08736186]
"(-8, -7, -13, 1)",[-8.60398133 -3.84205316 -3.82956781  3.94080873]
"(-8, -3, -11, 4)",[ -2.46260697  -2.48393531  -2.48996002 -11.65538137]
"(-8, -1, -10, 0)",[-2.2134726  -2.13992035 -2.18106877 -2.17324037]
"(-8, -1, -11, 4)",[-1.30801845 -1.21968177 -1.17370018 -8.37367012]
"(-8, -1, -12, 1)",[-8.61042476 -1.1379819  -1.25641876 -1.30312811]
"(-6, -3, -12, 1)",[-5.74424316  7.39399627 -2.2746639  -2.10392866]
"(-4, -5, -12, 1)",[-6.91212473 10.3608728  -2.83434349 -1.84045307]
"(-3, -8, -13, 1)",[-4.6033163  -3.18758993 -3.03694357 -0.64980217]
"(-1, -8, -12, 1)",[-3.8238     -1.40447381 -1.32039402 -1.51734099]
"(-1, -8, -11, 4)",[-1.56014172 -1.48333928 -1.40421301 -2.        ]
"(-3, -10, -12, 1)",[-5.94601906 -2.68403087 -2.18900313 -2.75370051]
"(-5, -10, -13, 1)",[-8.99163588 -0.19654763 -3.3075142  -3.3192555 ]
"(-5, -8, -12, 1)",[-6.87029984 -0.27698218 -3.50473492 -3.96096297]
"(-9, -4, -12, 1)",[-5.85914691  3.32920735 -3.78594132 -3.79713993]
"(-11, -4, -13, 1)",[-7.85079283 -1.75048227 -2.09524518 -2.04205057]
"(-9, -2, -12, 1)",[-6.08369592  2.72216054 -3.06465515 -3.05182909]
"(-7, 0, -11, 1)",[ -0.56807479  -2.          -0.76510824 -20.0195543 ]
"(-6, -1, -11, 1)",[-15.04763525  -4.79032505  -3.17602424  -2.83709911]
"(-4, -1, -10, 1)",[-18.31505448  -9.5820846   -3.55216811  -0.16941278]
"(-4, -3, -11, 1)",[-5.07099002 -5.17310599 -3.90585708  9.81028124]
"(-2, -5, -11, 1)",[-9.69722819 -4.16451619 -2.33763956 12.43093962]
"(0, -5, -10, 1)",[-6.92460907 -3.97151987 -2.27695239  8.10199572]
"(2, -5, -9, 1)",[ -5.81692973  11.07681041 -18.27537528  -0.94973384]
"(0, -7, -10, 1)",[-0.93261617 -2.71372053 -0.93280977  0.90456262]
"(0, -7, -9, 1)",[-10.3302424   -4.6489669   -1.62442987  23.91994849]
"(-2, -7, -10, 1)",[-3.29914655 -5.49930204 -3.43605833 11.99272159]
"(-2, -5, -9, 1)",[-8.88730912 -6.58057676  3.46090027 -1.17641223]
"(-4, -5, -10, 1)",[-5.38265392 -7.47059229 -2.95520307  0.68399558]
"(-4, -3, -9, 1)",[ -7.28677995 -10.5152602   -3.54562703   2.16931933]
"(-4, -1, -8, 1)",[-12.0916882   -2.73704851  -3.01069943   2.02052893]
"(-4, 1, -7, 7)",[-1.8829     -0.90334262 -1.1558759  -2.27919418]
"(-6, 1, -8, 7)",[-2.         -0.1        -0.14922864 -0.12477483]
"(-4, 3, -7, 7)",[-3.881      -0.52897445 -0.49665774 -2.09      ]
"(-4, 3, -8, 7)",[-2.         -0.1        -0.15293792 -0.1085    ]
"(-3, 2, -8, 7)",[-3.8        -0.12570525  0.          0.        ]
"(-2, 1, -8, 7)",[-6.878      -0.21462096 -0.16847921 -0.19      ]
"(0, 1, -7, 7)",[-6.38739272  4.613589   -1.15352232 -2.74530284]
"(2, 1, -6, 7)",[-3.73745028 11.95034338 -1.38697979 -7.83832553]
"(3, 0, -6, 7)",[-1.81841     0.44395487 -0.70736445 -3.4354103 ]
"(3, -2, -7, 7)",[-3.8085     -0.32320584 -0.29004236 -1.9292315 ]
"(5, -2, -6, 7)",[ 0.   0.  -0.1  0. ]
"(3, -4, -7, 7)",[-2.12708233 -0.1        -0.23312217 -3.8       ]
"(1, -6, -8, 7)",[ 0.   0.  -0.1  0. ]
"(-1, -6, -9, 1)",[-19.90888786  -3.95318533  -2.66304166  -1.2151966 ]
"(-7, -12, -14, 5)",[-7.30825388 -3.56004261 -7.99542033 -2.74807499]
"(-5, -10, -13, 3)",[ -3.13538839  -3.04185741 -13.48453324  -1.90316487]
"(-5, -10, -14, 5)",[-12.0466318   -1.14631235  -7.9193282   -3.65701946]
"(-3, -8, -13, 3)",[-3.16934915  1.31363364 -4.3505465  -2.53148839]
"(-5, -8, -14, 5)",[ -8.86053795  -4.01735903 -11.02297206   0.06923756]
"(-7, -8, -15, 5)",[-12.44948182  -2.45746813 -14.9880267   -4.0156122 ]
"(-11, -6, -15, 5)",[-9.6516154  -2.9976845  -7.26463059 -3.49930226]
"(-11, -6, -14, 5)",[-9.53804212 -0.75661417 -8.79534028 -3.8309478 ]
"(-11, -6, -13, 1)",[-9.06341038 -1.52069003 -2.78926001 -2.76895312]
"(-13, -8, -14, 5)",[-7.87456837 -2.37564821 -5.52498573 -2.40654411]
"(-12, -9, -14, 5)",[-7.90152969 -3.43892961 -8.13670727 -3.16744978]
"(-10, -9, -13, 1)",[-10.79244203  -3.57523886  -1.68379966  -3.55094028]
"(-8, -9, -12, 1)",[-7.06861902  1.32342019 -3.95133733 -3.83792414]
"(-6, -9, -11, 0)",[-3.11797677 -3.12954293 -3.15124174  2.13268235]
"(-4, -9, -10, 4)",[ -2.40755974   1.01916696  -2.30808504 -10.75504881]
"(-4, -9, -11, 1)",[-7.77088489 -5.58305585 -3.19944743  0.43791995]
"(-4, -9, -12, 1)",[-9.39551175  5.57484625 -3.3992919  -3.42054811]
"(-4, -9, -13, 1)",[-9.01116698  4.62591449 -3.24492036 -3.22559747]
"(-4, -9, -14, 5)",[-7.09059312  3.1349279  -3.99909342 -3.89760411]
"(-4, -7, -13, 5)",[-7.92069219 -4.29871934 -5.43687612  7.06734746]
"(-4, -5, -12, 3)",[-4.30051205 -4.32818914 -8.52413684  8.3716074 ]
"(-4, -3, -11, 3)",[ 5.57008727 -4.54630492 -4.82103857 -3.14900417]
"(-4, -1, -10, 2)",[ -1.4165413  -15.01135922  -2.98516841   1.85465933]
"(-6, -1, -11, 3)",[-0.02540362 -3.01627129 -8.39697478 -5.59804557]
"(-6, -1, -10, 2)",[ -2.81360181 -17.00412693  -2.86540381  -2.8252097 ]
"(-7, -2, -10, 2)",[-2.35303053 -9.44980726 -2.39633813  2.70048238]
"(-9, -4, -11, 3)",[-3.06627983 -3.02502956 -3.88982581 -1.20643951]
"(-11, -6, -12, 3)",[-3.14400509 -3.09554027 -6.29925614 -2.87287761]
"(-10, -7, -12, 3)",[-3.23639875 -3.6218144  -8.33729739 -3.73922042]
"(-9, -8, -12, 3)",[ -4.06447878  -4.06475232 -12.55900366   0.11376429]
"(-7, -8, -11, 3)",[-4.01049554 -3.12604373 -4.08311764 -5.21397511]
"(-6, -9, -11, 3)",[-3.02582307 -3.66580477 -7.8197818  -3.75610345]
"(-4, -9, -10, 3)",[ -2.54796556  -2.43758123 -10.74792335  -3.67253428]
"(-3, -8, -10, 3)",[-3.0045458  -2.7287739  -4.57594203 -4.12042543]
"(-1, -6, -9, 3)",[ -2.88861825  -1.58242882 -19.94382687  -2.90772234]
"(-1, -6, -10, 3)",[ -3.20052763  -0.63852564 -13.24447631  -5.05891033]
"(-1, -6, -11, 3)",[-3.31803861 -3.03565381 -4.60341827 -4.75124646]
"(-1, -4, -10, 3)",[-3.5784337   2.21293511 -7.98659012 -7.05781599]
"(-3, -4, -11, 3)",[-2.90796209  5.44465043 -6.67472059 -3.41452744]
"(-3, -2, -10, 3)",[-1.98798071  8.32269975 -5.77720456 -6.30339949]
"(-3, 0, -9, 3)",[ -1.83302792  21.11365701 -10.49817929  -7.25808872]
"(-4, 1, -9, 3)",[ -2.44966182  -1.93972521 -10.20328335  -2.39452429]
"(-5, 0, -9, 3)",[-2.25294712 13.02285472 -7.10252664 -2.45199605]
"(-7, -2, -10, 3)",[-3.05288667 -1.83010202 -6.13012545 -6.36014644]
"(-7, -2, -9, 3)",[ -3.3616527  -16.01743725  -9.23863523  -4.78512351]
"(-7, -2, -8, 3)",[ -2.37025944 -12.9061695  -11.7997953   10.86688017]
"(-6, -3, -8, 3)",[ -3.16998224  -1.8925101  -13.19187801  -3.1516022 ]
"(-6, -5, -9, 3)",[ -3.53158422  -2.95817358 -12.77177808  -5.22896072]
"(-6, -7, -10, 3)",[-3.68947742 -3.84678882 -7.08701794 -7.41316436]
"(-5, -8, -10, 3)",[-3.28332025 -2.80806329 -5.27085759 -9.29984452]
"(0, -5, -10, 3)",[ -0.7830053  -20.10928493  -0.8446283   -6.39551355]
"(-2, -3, -10, 3)",[ -3.7542806  -60.22078319  -6.74712704 -24.0112228 ]
"(-2, -1, -9, 3)",[  7.10204125 -94.95577737 -46.05530356 -36.62091692]
"(-4, -1, -10, 3)",[-4.17261321 -3.43655281 -6.58730656 -7.3831626 ]
"(-5, 0, -10, 3)",[-2.58222437  5.73553918 -5.18310846 -3.95049779]
"(-7, -2, -11, 3)",[-3.71313993  2.06156831 -8.16230583 -4.61865145]
"(-8, -3, -11, 3)",[-3.55412933 -3.13550987 -5.29601937 -6.43416108]
"(-8, -3, -10, 3)",[-2.97869117 -2.90722918 -4.76659292 -6.40931576]
"(-8, -3, -9, 3)",[-2.18415301 -2.27345441 -5.7661718  -6.08294961]
"(-4, -3, -7, 0)",[-3.26744261  4.71244123 -3.01668551 -1.70229099]
"(-2, -3, -6, 2)",[-1.35860011 -4.05163143 -1.51495489 18.25201892]
"(-2, -5, -7, 0)",[ -2.23199632 -36.2503225   16.79886526 -18.39187463]
"(0, -5, -6, 2)",[-20.03579226  -2.          -0.28806055   5.56311257]
"(0, -5, -7, 0)",[-1.474976    5.79379637 -1.66044965 37.15768644]
"(0, -5, -8, 1)",[-9.26471621  1.02585451  0.19215507 28.00705511]
"(-2, -4, -10, 0)",[-5.03869184 -4.85013311 -5.241869   -3.71970229]
"(0, -2, -9, 4)",[-3.26701609 -4.91122422 -3.32011103 -3.85272297]
"(-1, -1, -9, 4)",[-1.49746459 24.65386099 -1.68506396 -9.89628429]
"(-3, -1, -10, 0)",[-2.19589261  2.61589621 -2.6295377  18.40131213]
"(-5, -3, -11, 3)",[-3.12412202 12.49644524 -7.7894546  -4.80684221]
"(-7, -5, -12, 3)",[-3.77530116 -3.37017623 -8.56620585  7.91685903]
"(-7, -5, -11, 3)",[-3.53942456 10.96633064 -6.99199744 -4.40068217]
"(-7, -5, -10, 0)",[-2.67800793  0.8585242  -2.69381005 -2.69479646]
"(-7, -5, -9, 2)",[-1.50263379 -9.51069311 -1.52599188 -0.65034446]
"(-8, -6, -9, 2)",[ -3.91894031 -14.75300726  -3.84639855   8.80506635]
"(-8, -6, -8, 0)",[-2.82020215 -2.80554541 -2.83328828  3.2944175 ]
"(-8, -8, -9, 4)",[ -3.30617701  -2.43326716  -3.19779345 -12.46226134]
"(-6, -8, -8, 0)",[-2.76524472 -2.58533904 -2.62192651  2.5666486 ]
"(-4, -6, -7, 3)",[-2.98633206  0.14183122 -6.91301103 -3.13715784]
"(-2, -4, -6, 0)",[ -3.58279565 -71.60933667  -5.14662184 -52.919973  ]
"(-2, -4, -7, 3)",[-4.19994555e+00 -1.79061675e+01 -5.22297968e+00 -2.38669804e-03]
"(-1, -3, -7, 3)",[ 0.07847118 -1.51380767 -7.77907513 54.51221212]
"(1, -1, -6, 0)",[-1.92366518 70.74162192 -0.26956897 14.05755842]
"(3, 1, -5, 2)",[-2.76855555 -4.56860099  4.80633552 79.34009462]
"(3, 1, -6, 0)",[ 2.96480023 64.43452027  8.33441399 16.00740729]
"(1, 1, -7, 1)",[-12.51412294   8.58213279   0.92065877  54.22606229]
"(1, 3, -6, 0)",[10.3024031   2.20196217 10.13031505 54.55067831]
"(-1, 1, -7, 1)",[-26.03086946   2.39787741   3.48255052  34.67510871]
"(-2, 0, -7, 1)",[ -8.57629566   3.75875646 -18.36209598 -34.53067956]
"(-3, -1, -7, 1)",[-7.03840813 20.82178775 -1.53725786 -1.45377986]
"(-3, -1, -6, 0)",[ 0.30817006 66.41041272 -1.83705191 14.75349026]
"(-5, -3, -7, 3)",[-1.73449296  8.2626494  -5.99649344  1.89345447]
"(-7, -5, -8, 3)",[ -2.25959559  -2.16098899 -12.17447321   2.52848675]
"(-9, -7, -9, 3)",[-1.83152108 -0.98953904 -3.89984795 -4.0307905 ]
"(-9, -9, -10, 3)",[-2.43075569 -2.08112307 -8.12665265 -2.50562312]
"(-9, -11, -11, 3)",[-1.36546738 -1.45518812 -2.60288551 -1.24062185]
"(-7, -9, -10, 3)",[-2.6067474  -2.45160652 -6.39309154 -2.85301787]
"(-6, -8, -10, 3)",[ -4.81603296  -4.695311    -4.81235907 -12.26095807]
"(-6, -8, -11, 3)",[-4.69689724 -5.33678305 -5.70928035 -6.16871337]
"(-4, -6, -10, 3)",[-5.42233291 -5.43632095 -7.19409436 -6.20518297]
"(-2, -4, -9, 3)",[  -3.0520356   -55.43992745  -11.60086402 -106.27861038]
"(-2, -4, -10, 3)",[ -5.07948816 -30.31973964  -7.21398358 -32.12063449]
"(-1, -3, -10, 3)",[  0.29693559  21.47666978 -15.19425099  -3.16217101]
"(-2, -2, -10, 3)",[ -4.31640992 -99.27639307  -6.78949274 -36.96128264]
"(-2, 0, -9, 3)",[ -3.59090765 -70.84996418  -5.10347671 -77.17684107]
"(-4, -2, -10, 3)",[-4.45487308 -5.6761958  -7.39889317 -6.85036958]
"(-4, -2, -9, 3)",[ -4.65932163 -15.11838299  -7.92622779  -8.12299553]
"(-6, -4, -10, 3)",[-5.52150964 -5.24354738 -7.59063457 -6.90149676]
"(-6, -4, -9, 3)",[ -5.11967995  -3.96032001 -13.68419209  -5.85445818]
"(-8, -6, -10, 3)",[-4.72525022 -4.19911047 -6.3229474  -7.9570089 ]
"(-10, -8, -11, 3)",[-4.43126087 -4.34815126 -7.25798872 -4.39773704]
"(-10, -8, -10, 3)",[-3.11851534 -3.16157933 -3.54004861 -3.22883297]
"(-10, -10, -11, 3)",[-3.8334166  -3.82744629 -5.05601284 -3.78637895]
"(-8, -10, -10, 0)",[-3.60106394 -3.47764085 -3.58881564 -3.51605781]
"(-6, -8, -9, 4)",[ -3.72468531  -3.19994131  -3.80286919 -13.98091499]
"(-6, -8, -10, 0)",[-4.83434904 -4.84101697 -4.84021978 -3.87732036]
"(-6, -8, -12, 3)",[-5.31573827 -5.32176077 -7.24356989 -4.15003791]
"(-4, -6, -11, 3)",[-4.76592093 -5.61492177 -5.76851959 -6.19305704]
"(-4, -6, -12, 5)",[-5.27258732 -5.58925099 -3.79891198 -5.51325601]
"(-2, -4, -11, 1)",[-6.41291629 -5.83359445 -3.38451072 -5.28722018]
"(-2, -2, -10, 1)",[ -7.01966725 -25.71002236  -2.35146146 -74.35949271]
"(-2, 0, -9, 1)",[ -4.30405541 -13.70238452 -42.23533318 -85.81299935]
"(-3, -1, -9, 1)",[-22.75598903  -3.72779844  -1.19706625  24.45704501]
"(-5, -3, -10, 1)",[-9.07371445 -5.27222117 -2.88650243 15.62591006]
"(-5, -3, -9, 1)",[-7.56642206 -5.17442526 -2.79012497 13.17812663]
"(-6, -4, -9, 1)",[-9.91075365 -5.39391907 -5.1018588  -3.76182188]
"(-8, -6, -10, 1)",[ -7.96009567 -12.593027    -4.88358079  -4.53966244]
"(-9, -7, -10, 1)",[-3.68438749 -4.62209409 -2.95032587 -2.32914311]
"(-11, -9, -11, 1)",[-4.51145738 -1.93941801 -1.92862609 -1.89665397]
"(-11, -11, -12, 1)",[-10.21893467  -2.59581444  -2.311694    -2.5558713 ]
"(-10, -12, -12, 1)",[-8.40234993 -3.09161669 -3.25373583 -3.21207024]
"(-8, -10, -11, 1)",[-6.79577261  3.53260384 -4.3754274  -3.58919918]
"(-8, -10, -12, 5)",[-4.69156026 -4.70523425 -4.68400098 -2.93411487]
"(-8, -10, -13, 5)",[-10.61479165  -5.09186199  -7.31281055  -1.53521985]
"(-8, -10, -14, 5)",[-7.09300157 -5.26780371 -8.22973942 -4.36533498]
"(-7, -9, -14, 5)",[-13.39512529  -3.75442469 -13.81141773   2.85521695]
"(-5, -7, -13, 5)",[-9.23731951 -2.16472304 -6.70564615  7.87061804]
"(-3, -5, -12, 5)",[-3.47156978 -3.40346912 -3.39237022  1.69922595]
"(-3, -3, -11, 1)",[-7.30778085 -3.07645569 -3.69310568 19.06091604]
"(-5, -3, -12, 1)",[-4.80578488 11.87660751 -3.81432318 -2.88293484]
"(-5, -3, -11, 1)",[-4.93225942 -4.03923303 -3.66980666 18.03851947]
"(-6, -4, -11, 1)",[-6.8318764  -5.71402354 -5.49828879 -5.01330587]
"(-7, -5, -11, 1)",[-4.76165052 -3.36227346 -3.53915784  7.25120082]
"(-9, -7, -12, 1)",[-9.8885163   1.96676745 -3.53780679 -3.49471748]
"(-9, -7, -11, 1)",[-7.47443318 -5.30139235 -3.44106563 -2.25830922]
"(-9, -7, -9, 1)",[-2.         -2.16786371 -1.29099419 -0.624623  ]
"(-8, -8, -9, 1)",[ -5.23552624 -13.50451895  -2.27555593   9.59171144]
"(-6, -8, -8, 1)",[-3.13932928 -2.20505784 -2.45473393 15.33042979]
"(-4, -6, -7, 1)",[-4.39822211 -2.77896719 -2.20185156 20.62120871]
"(-4, -6, -8, 1)",[-12.28953262  -1.73677378  -4.92308252  -4.55155538]
"(-4, -6, -9, 1)",[-11.27856564  -6.19360122  -5.21611361  -3.94855136]
"(-2, -4, -8, 1)",[ -8.81288942  -0.14697627  -5.38095693 -10.38581245]
"(-1, -3, -8, 1)",[-36.41943064  44.77740393  -1.16625003   3.08305454]
"(-1, -3, -9, 1)",[-7.81797775 -4.93208901 -0.31824602 29.93711072]
