"(-4, -1, -10, 0)",[-4.07868241 -3.64415162 -4.17806404 -2.79167902]
"(-2, -1, -9, 0)",[ -2.08127096 -59.76014159  -3.83280187 -17.3670528 ]
"(0, -1, -8, 0)",[ -4.06508434 -14.51617436  -1.94182358  13.46278201]
"(2, -1, -7, 4)",[-0.59377538  8.95208943 -0.21292841 -5.42      ]
"(0, -3, -8, 0)",[-6.27559325  1.21844381 -2.78242588 13.01800692]
"(0, -3, -7, 4)",[-17.38403896   2.24008155  -0.69740788  -3.8       ]
"(-1, -4, -7, 4)",[-1.46500212 -1.38212188 -1.54970736 -2.        ]
"(-2, -5, -7, 4)",[ -2.07616112 -20.46778042  -2.12587611  -3.84332353]
"(-4, -7, -8, 0)",[-3.2775841  -1.76827233 -3.41132238 -3.45704009]
"(-4, -7, -7, 4)",[-0.289523   -0.32188729 -0.3367462  -2.10082656]
"(-4, -5, -6, 0)",[-2.80225655  1.042931   -2.80836755 -2.22855184]
"(-4, -3, -5, 1)",[-6.94726282 -0.69754909 -0.91590427 -0.81604   ]
"(-4, -1, -4, 0)",[-2.22761092 -2.21391855 -2.22447844 14.77985031]
"(-4, -1, -5, 0)",[-2.42465671 -1.89518814 -2.7312316   0.93522194]
"(-2, 1, -4, 0)",[ -3.14024247  -6.8024781   -0.81657932 -18.34029754]
"(-2, 1, -5, 0)",[ -3.09170934 -22.52745499  -2.02924851  -7.45815557]
"(-2, 1, -6, 0)",[-2.69477016 -3.30714239 -3.48959477 -2.94865821]
"(0, 3, -5, 0)",[ -2.83866419 -38.68630494  -2.48644903  18.01695568]
"(2, 5, -4, 0)",[-18.60876455  56.31659725  -9.10619699  14.93102482]
"(2, 3, -5, 0)",[ -2.18611628  54.67085674 -17.23629492  14.88127807]
"(4, 3, -4, 0)",[16.53528085 43.67071737 12.77907774 29.30268121]
"(4, 1, -5, 0)",[ 6.5783052  11.83318486  5.55818294 21.74400949]
"(4, 1, -4, 0)",[10.18424613 39.4949458   8.65675749 15.74200821]
"(4, 1, -3, 2)",[ 4.31602172 -9.48970727  4.47851951 34.87985245]
"(3, 0, -3, 2)",[ 4.17698249 18.50009364 -0.41808709  0.98742619]
"(1, -2, -4, 0)",[ -3.18384402 -15.09242178  -1.27996269 -19.12723084]
"(-1, -4, -5, 0)",[-3.02696501 -1.82395251 -2.75389476 -2.16109192]
"(-1, -4, -4, 0)",[-1.55288659 -2.60060378 -2.67262138 -2.57574396]
"(-3, -4, -5, 0)",[-2.71116738 -3.05563546 -2.73668741 -2.72992163]
"(-3, -2, -4, 0)",[ -2.07040824  -3.36943775  -3.1844834  -16.79079117]
"(-3, 0, -3, 2)",[-0.35975824 -3.8750168  -0.28045845 11.33613649]
"(-1, 2, -2, 0)",[-15.50011031  41.54677011  10.1477431   82.62448546]
"(-1, 2, -3, 0)",[-16.48669566  28.65704176   1.06397083  79.02686423]
"(-1, 2, -4, 0)",[-43.6647435    6.71005073  -7.54757476  52.65847633]
"(1, 4, -3, 0)",[ 3.36551269 13.93510191 11.16977612 59.93373766]
"(3, 6, -2, 0)",[24.31690454 50.96646841 25.30878188 85.33333371]
"(5, 8, -1, 0)",[48.58912726 95.34741017 48.41911738 70.06647579]
"(7, 8, 0, 0)",[62.35168844 55.74494278 77.74815686 56.38540918]
"(-8, -10, -14, 1)",[-21.74068544  -5.0535849   -5.19668672  -5.03235694]
"(-6, -8, -13, 1)",[-21.69644406  -5.09614223  -5.27749364  -4.70256776]
"(-4, -6, -12, 1)",[-18.52937986  -5.3253908   -5.1466656   -5.32628366]
"(-2, -4, -11, 0)",[ -5.55480144 -15.8483155   -5.44475034  -5.55899893]
"(0, -2, -10, 0)",[ -5.11474707 -18.37371799  -5.52356657 -15.9754832 ]
"(-2, -2, -11, 0)",[ -5.64033736  -6.02517222  -5.371325   -26.2576624 ]
"(-2, 0, -10, 0)",[  -5.6335786  -102.0034759    -5.64420942  -31.42963319]
"(-4, -2, -11, 0)",[-5.55672567 -5.60228789 -5.49474977 -8.04416708]
"(-6, -4, -12, 0)",[-5.1082449  -5.45157986 -5.46963046 -5.4789206 ]
"(-6, -4, -11, 0)",[-5.18365632 -5.28622414 -5.29201519 -5.35889739]
"(-8, -6, -12, 0)",[-4.82509854 -5.13480657 -5.18954992 -5.16784151]
"(-10, -8, -13, 0)",[-4.96784322 -4.98399857 -4.95239159 -5.01598346]
"(-12, -10, -14, 1)",[-21.58390694  -4.85037088  -5.38071086  -4.60270201]
"(-14, -12, -15, 5)",[-15.81971137  -9.21487193 -18.785813   -11.98181671]
"(-12, -12, -14, 1)",[-21.53569185  -4.59862648  -4.95100145  -4.59191489]
"(-12, -14, -15, 5)",[-18.26779105 -12.66624997 -14.84978252  -9.97238595]
"(-10, -12, -14, 3)",[ -5.23975441  -4.58061969 -21.33752737  -4.80019453]
"(-10, -12, -15, 5)",[-22.36163783  -7.5872493  -22.59294233 -11.56195762]
"(-9, -11, -15, 5)",[-22.3713189  -13.56283262 -22.20602429  -7.87432743]
"(-8, -10, -15, 5)",[-22.31846013 -13.73174968 -22.91124261  -8.19812297]
"(-6, -8, -14, 1)",[-21.94090305  -5.27264029  -6.05702509  -5.28966136]
"(-4, -6, -13, 0)",[-5.18520292 -5.40691944 -5.40830476 -5.44628641]
"(-2, -4, -12, 0)",[-5.48554591 -5.50852082 -5.40343857 -5.48955087]
"(-4, -4, -13, 3)",[ -5.50483053  -5.63333975 -20.76368635  -5.63139202]
"(-6, -4, -14, 3)",[ -5.56324136  -5.53793695 -22.00839297  -5.0754575 ]
"(-6, -4, -13, 0)",[-5.49572626 -5.50791417 -5.43243606 -5.50073243]
"(-8, -6, -11, 0)",[-4.99509687 -5.02455404 -5.0285241  -5.03965168]
"(-8, -6, -10, 0)",[-4.76597209 -4.81245666 -4.69939469 -4.82523697]
"(-10, -8, -11, 0)",[-4.58512068 -4.57067316 -4.5081543  -4.35534688]
"(-10, -10, -12, 0)",[-4.23888491 -4.72220946 -4.77153942 -4.75066306]
"(-10, -12, -13, 1)",[-20.82817308  -4.4092672   -4.43237994  -4.07380601]
"(-9, -11, -13, 1)",[-22.22968809  -3.16251358  -3.15047231   0.7875802 ]
"(-7, -9, -12, 0)",[-3.07026444 -1.56739125 -3.20238555  5.6001457 ]
"(-5, -7, -11, 0)",[-1.8955833  -0.59193609 -1.51980874  8.63343954]
"(-5, -7, -12, 0)",[-2.33295964 -0.76409367 -2.25622921  5.15004596]
"(-3, -5, -11, 0)",[-0.6318705   7.60494298 -0.06732273  4.70838941]
"(-1, -3, -10, 0)",[ 1.99341523  5.78622783  1.41683715 10.65698665]
"(-1, -3, -11, 0)",[-0.01398469  7.31186408 -1.02598698  0.64265852]
"(-1, -1, -10, 0)",[1.41829075 6.85001933 1.92624162 9.93879709]
"(-1, 1, -9, 0)",[ 2.30005009 12.63552012  2.15468973  9.05484288]
"(-3, -1, -10, 0)",[-0.37003003  5.34657187  1.46221484  9.94479557]
"(-5, -3, -11, 0)",[-0.00887762  1.06875178 -0.72777247  7.64408088]
"(-5, -3, -10, 0)",[ 0.26069597  5.36007207  0.54374442 11.23755826]
"(-7, -5, -11, 0)",[-1.68206511 -0.65885705 -3.15063034  7.69616724]
"(-7, -5, -10, 0)",[-1.28226874  1.31289818 -1.84871768 11.0827079 ]
"(-9, -7, -11, 0)",[-2.20821461  6.89473538 -2.56697766 -1.883081  ]
"(-9, -7, -10, 0)",[-2.28561199  9.85797992 -2.4096479  -1.88878366]
"(-7, -7, -9, 0)",[-0.52241065  1.17702671  0.19431076 14.47014022]
"(-5, -7, -8, 0)",[-0.11500726  4.77184471  0.54561686 18.73374962]
"(-3, -5, -7, 0)",[ 5.16739444 13.84803404  7.11780462 24.20876284]
"(-1, -3, -6, 0)",[10.76177716 31.78080468 12.81362739 20.3620842 ]
"(-1, -3, -7, 0)",[ 8.74786158 25.21436965  9.59788502 17.71371825]
"(1, -1, -6, 0)",[11.05414332 29.38863252 11.60599214 27.82862992]
"(3, 1, -5, 0)",[17.56916973 38.9628336  17.3153258  30.14482785]
"(3, 1, -6, 0)",[ 9.21174155 29.30383525  9.4587358  22.28518824]
"(3, 1, -7, 0)",[ 5.98584221  8.84949293  4.91297553 22.0092492 ]
"(1, 1, -8, 0)",[ 6.13933953 16.50807353  5.21725874 11.90671325]
"(1, 3, -7, 0)",[ 6.55724206 13.73458119  5.20820673 19.63844452]
"(-1, 1, -8, 0)",[ 7.02617202 13.16817649  4.87934608 16.41470032]
"(-1, 1, -7, 0)",[10.94408927 22.05494346 10.23419878 11.14295711]
"(-3, -1, -8, 0)",[ 6.30069051 18.07814717  4.65014041 14.09727044]
