"(-4, -6, -10, 0)",[-5.10080594 -5.12168163 -4.43437638 -5.09832724]
"(-2, -4, -9, 0)",[ -5.34951604 -31.03970632  -5.41883304 -21.58629284]
"(-2, -4, -10, 0)",[ -5.34748457 -42.6587514   -5.4430696   -5.44919854]
"(0, -2, -9, 0)",[ -5.52746516 -51.51913196  -5.6072075  -27.96535345]
"(0, -2, -10, 0)",[ -5.35389117 -35.16406614  -5.43659026  -9.62058159]
"(0, 0, -9, 0)",[ -5.20198717 -51.38558923  -5.20252574 -43.79219153]
"(0, 2, -8, 0)",[-38.88610605  -1.41594596 -12.84793228  -1.35090869]
"(-2, 0, -9, 0)",[ -5.51782095 -36.51837508  -5.4898426  -25.19091078]
"(-2, 0, -8, 0)",[ -5.55359838 -23.10502731  -5.43130863 -47.66405851]
"(-2, 0, -7, 0)",[ -5.5896175  -30.55760199  -7.01111977 -35.24559754]
"(-4, -2, -8, 0)",[ -4.99798675  -5.51767709  -5.31437125 -21.9599359 ]
"(-6, -4, -9, 0)",[-4.98194562 -4.97684853 -2.03355519 -5.03735752]
"(-8, -6, -10, 0)",[-4.80352171 -4.82165938 -0.96431083 -4.36524424]
"(-8, -6, -9, 0)",[-4.43595591 -4.44489185  0.22271108 -4.44602765]
"(-6, -6, -8, 0)",[-4.40429456 -4.38382089  2.17071005 -4.39576803]
"(-6, -8, -9, 0)",[-4.40980929 -4.35044199 -0.92180683 -4.37782759]
"(-4, -6, -8, 0)",[-3.4017218  -4.67767184 -4.69352263 -4.69619848]
"(-4, -6, -9, 0)",[-3.75865155 -4.985482   -4.92970415 -4.98272226]
"(-2, -4, -8, 0)",[ -5.17642844 -50.38986043  -5.38730041  -5.39132618]
"(0, -2, -8, 0)",[-25.36470398 -40.92226709  -5.43357827 -29.56142232]
"(2, 0, -8, 0)",[-36.39175431  -1.81450399 -46.33425612 -36.40276307]
"(2, 2, -7, 0)",[-15.62033933  -1.5593689  -62.86333204  -1.16909114]
"(2, 4, -6, 0)",[-28.59842331  -0.92463357  -0.96824842   0.90997493]
"(0, 2, -7, 0)",[-70.94194724 -19.26301906  -7.23642369  -0.74127436]
"(-6, -10, -13, 3)",[-4.21453973 -4.56815758 -7.92367859 -4.38828763]
"(-5, -9, -13, 3)",[-2.09417037 -0.63317022 -9.88150611 -2.05245366]
"(-5, -9, -14, 5)",[-3.55851632 -2.68290692 -9.4201846  -1.95513391]
"(-3, -7, -13, 5)",[-1.6030034  -1.02882446 -1.51957917  0.38478371]
"(-3, -5, -12, 1)",[-8.99368851  6.64214575 -2.81731144 -3.00901034]
"(-5, -5, -13, 5)",[-6.07156317 -2.75755165 -9.98737064  0.95162607]
"(-5, -3, -12, 3)",[-2.71301112  8.00938187 -7.87694744 -2.23904896]
"(-7, -3, -13, 5)",[-1.7256209  -1.75268941 -1.77145034  0.88166597]
"(-7, -3, -12, 1)",[-5.00918632 -2.4089786  -2.47867631  7.12346271]
"(-9, -5, -13, 1)",[-5.61314495  0.84487668 -1.97339727 -1.97668721]
"(-10, -6, -13, 1)",[-4.75081469 -4.22685409 -4.26077946 -4.26129798]
"(-10, -6, -12, 1)",[-6.1260292  -4.66214977 -4.24464428 -4.67062557]
"(-12, -8, -13, 1)",[-2.02150367 -1.23307355 -1.3424164  -1.01154733]
"(-10, -8, -12, 1)",[-6.32641821 -4.82512848 -3.6990616  -4.81875729]
"(-8, -8, -11, 1)",[-7.93397155 -4.79442685 -2.8398461  -4.79771011]
"(-8, -10, -12, 1)",[-5.54945647 -4.80836664 -4.84850629 -4.8379054 ]
"(-8, -12, -13, 1)",[-2.01693391 -1.06883265 -0.92561048 -1.16721628]
"(-8, -12, -14, 5)",[ -5.49798614  -3.01251952 -10.64656373  -4.32050704]
"(-6, -10, -13, 5)",[-8.96152762 -4.03371351 -6.27000442 -4.78413255]
"(-6, -10, -14, 5)",[-5.90426455 -4.7588841  -8.25006243 -4.7118957 ]
"(-4, -8, -13, 3)",[ -4.82465079  -4.8824686  -13.06552048  -4.81060245]
"(-2, -6, -12, 3)",[-5.06747    -7.64650241 -7.26925462 -5.31632658]
"(-4, -6, -13, 3)",[ -5.18400166  -5.23532875 -10.20537289  -5.21354274]
"(-4, -4, -12, 3)",[-5.29616606 -5.52355075 -7.06999832 -5.51937687]
"(-6, -4, -13, 3)",[-4.34436039 -5.0630598  -6.56737307 -4.97583272]
"(-6, -2, -12, 3)",[-4.87048157 -4.52294977 -5.53299878 -4.83484662]
"(-6, -2, -11, 3)",[-4.72212864 -4.8157744  -4.71226704 -2.69017075]
"(-6, -2, -10, 3)",[-2.54841947 -4.30608728 -4.63675696 -4.74333669]
"(-6, -2, -9, 0)",[ -4.651112   -38.78423559  -2.72760819 -36.31396381]
"(-6, -2, -8, 0)",[ -4.29581179  -6.13853036  -2.54451373 -42.26207799]
"(-6, -2, -7, 0)",[-4.21122785 -8.12100608 -2.07325695 -7.26574524]
"(-6, -4, -8, 0)",[-4.49646692 -4.55677058 -1.3390606  -4.62105912]
"(-6, -6, -9, 3)",[ 0.34194242 10.28330368 -0.35474632 -3.65815819]
"(-6, -8, -10, 3)",[-3.08819081 -0.22979266 -5.86180588 -4.07646705]
"(-6, -10, -11, 3)",[-4.25386156 -2.9876252  -8.38976984 -4.27990458]
"(-4, -8, -10, 3)",[-4.1734358  -4.85565335 -7.20462819 -4.95534649]
"(-2, -6, -9, 0)",[ -4.53503614 -29.92990167  -5.05210115 -24.4755221 ]
"(0, -4, -8, 0)",[ -8.13179173 -17.8093513   -4.9670889   -5.20707004]
"(0, -4, -9, 0)",[-4.98792936 -8.51233853 -5.13545717 -5.16518436]
"(0, -4, -10, 0)",[ -4.99616529 -22.30395315  -4.98159415  -5.00429877]
"(-2, -4, -11, 1)",[-6.57681056 -5.57046899 -4.70085108 -5.50098477]
"(-4, -4, -12, 1)",[-5.66282188 -5.37276196 -4.87266316 -5.25909178]
"(-4, -2, -11, 1)",[ -6.44230534  -4.2351651   -5.3782293  -20.90737182]
"(-4, 0, -10, 1)",[ -2.22674168  -1.47378046  -1.35315529 -20.25686197]
"(-2, -4, -12, 3)",[-5.30891591 -4.67568482 -6.31105175 -5.30915798]
"(-2, -2, -11, 3)",[ -5.23336327 -58.30044948  -7.80506563  -7.59081609]
"(-2, 0, -10, 3)",[ -5.44338298 -49.41615951  -6.24979911 -43.21304867]
"(-4, -2, -11, 3)",[-5.05811092 -5.60277068 -6.53053644 -5.59946725]
"(-5, -3, -11, 3)",[-2.53875116 13.78925504 -9.12285547 -0.86932537]
"(-5, -3, -10, 3)",[-0.22261036 18.81606301 -6.98018299 -1.28058401]
"(-7, -5, -11, 3)",[-2.7754714  -1.0838751  -8.09536244 13.17884583]
"(-9, -7, -12, 3)",[-2.68090929  7.07751167 -5.1572944  -2.59071661]
"(-9, -7, -11, 3)",[-2.67964766 -2.65402045 -7.86642     8.56718695]
"(-9, -7, -10, 0)",[-2.14791318  9.7729233  -2.09599926 -2.09266306]
"(-7, -7, -9, 0)",[-2.37975304 21.00778504 -2.52619486  0.65419658]
"(-7, -9, -10, 0)",[-2.26262028  3.39695166 -1.25322157 -2.17876305]
"(-7, -9, -11, 0)",[-2.1966252  -0.18899572 -2.19315566 -2.18762373]
"(-5, -7, -10, 0)",[-2.56031181 20.38899914 -2.60599808 -1.48721025]
"(-5, -7, -11, 3)",[ -2.71448699   1.17165171 -13.96416897  14.91860983]
"(-5, -7, -12, 3)",[-3.00037863 -2.38170426 -8.24271541  9.11740903]
"(-3, -5, -11, 3)",[ -2.91577615  13.90969742 -10.15071289  -2.94471415]
"(-3, -5, -12, 3)",[-2.95789624 -1.48152194 -6.63973715  7.75695083]
"(-1, -3, -11, 3)",[-1.87294973  9.81557797 -5.80818416 -1.86242925]
"(-1, -1, -10, 3)",[ -0.61882756   3.16347309 -25.63931762  19.08922222]
"(-1, 1, -9, 0)",[-1.83407213  1.38675524 -1.57628625 24.46945805]
"(-1, 1, -8, 0)",[ 4.26608859  3.46745512  1.5234653  30.99956535]
"(-1, 1, -7, 0)",[ 8.61519539 40.78772529 11.34758931  9.96846007]
"(-3, -1, -8, 3)",[-1.03279013  2.49875294 -1.04101136 30.607722  ]
"(-3, -1, -7, 0)",[ 6.15618954 10.79318184  8.76914239 42.67997624]
"(-3, -1, -6, 0)",[ 5.12873999 10.15753531  4.70111841 49.62682155]
"(-3, -1, -5, 0)",[10.16169092 65.86998849  5.25924925 32.84937311]
"(-3, -1, -4, 0)",[11.98113177 31.86703699  9.71089333 75.89620643]
"(-1, -1, -3, 0)",[ 30.65634435 104.80026845  28.21056959  75.35950485]
"(1, -1, -2, 2)",[ 2.07963644  8.97699105 11.09310923 90.06589406]
"(3, 1, -1, 2)",[100.08043244   1.72259865  41.3669077   56.22994894]
"(4, 2, -1, 2)",[-20.09        -3.71        -0.15430601 102.56226481]
"(5, 3, -1, 2)",[59.14604134 24.06277644 24.28118753 75.27986194]
"(5, 3, -2, 2)",[78.17589857 12.24191382  2.94883548 20.04991061]
"(7, 5, -1, 2)",[ 17.8059512   34.63166752   7.85827172 211.81133751]
"(7, 5, -2, 0)",[ 16.23860436 156.64542438   5.27042556  34.54320964]
"(7, 5, -3, 0)",[-3.43900000e-01  4.71023555e+01  3.89873428e-01  1.91852500e-03]
"(5, 5, -4, 0)",[ 9.84245122 85.21149733  5.5555256  15.12045476]
"(3, 5, -5, 0)",[-0.22231301 57.46411368 12.95395457 -0.62077865]
"(1, 3, -6, 0)",[ 6.57538937 49.50955329 14.00178076 14.84951506]
"(1, 3, -5, 0)",[23.14216917 62.82762863 21.85199456 18.99414861]
"(-1, 1, -6, 0)",[17.17497133 54.26133079 17.77876837 23.29211972]
"(-3, -1, -7, 3)",[-1.41664736 -0.87217881  2.96369289 38.74441396]
