"(-2, 1, -5, -7, -7, -5)",[-0.23109415 -0.23967955 -0.1278091  -0.1       ]
"(-2, 1, -5, -5, -7, -4)",[-0.90166118 -0.72882494 -0.79134863 -0.72349555]
"(-2, 1, -5, -3, -7, -3)",[-1.53055126 -1.43694562 -1.47668309 -1.51030399]
"(-1, 0, -4, -2, -6, -3)",[-1.86442492 -1.86721181 -1.88118245 -1.85746123]
"(0, -1, -3, -1, -5, -3)",[ -2.02681645  -1.94747826 -18.181       -1.95420879]
"(-1, -2, -4, 0, -6, -3)",[-1.93152662 -1.90911729 -1.86723878 -1.87323816]
"(0, -3, -3, 1, -5, -3)",[-1.23697232 -1.08286566 -1.21267952 -1.09800952]
"(0, -5, -3, 1, -5, -4)",[-0.66897726 -0.672522   -0.63765092 -0.71944673]
"(1, -6, -2, 2, -4, -4)",[-0.14010324 -0.11881     0.         -0.1       ]
"(1, -6, -2, 2, -4, -3)",[-0.1    -0.1     0.     -0.1099]
"(0, -5, -3, 1, -5, -3)",[-0.41633495 -0.53064732 -0.40814934 -0.5161395 ]
"(0, -3, -3, 1, -5, -2)",[-1.01972445 -1.06254413 -1.02769796 -1.08365794]
"(1, -2, -2, 0, -4, -2)",[-1.33442708 -1.0914924  -1.27931409 -1.34221156]
"(1, 0, -2, 0, -4, -1)",[-1.45479515 -1.39020834 -1.4513603  18.25974901]
"(1, 0, -2, -2, -4, -2)",[-1.36360823 -1.35796418 -1.41523114 -1.3822567 ]
"(1, 2, -2, -2, -4, -1)",[-0.91308404 -0.88512059 -0.85569199  0.33698847]
"(0, 3, -3, -3, -5, -1)",[-0.48395521 -0.56859812 -0.51292469 -0.58116783]
"(0, 3, -3, -5, -5, -2)",[-0.1    -0.1099 -0.1    -0.1   ]
"(0, 5, -3, -3, -5, -1)",[-0.1 -0.1 -0.1 -0.1]
"(0, 3, -3, -3, -5, -2)",[-0.49690736 -0.47236536 -0.47872263 -0.53107382]
"(0, 3, -3, -1, -5, -1)",[-0.93673231 -0.89154071 -0.91645002 -0.88511197]
"(0, 1, -3, -1, -5, -2)",[-1.41237835 -1.45596994 -1.4248588  -1.45321396]
"(-1, 0, -4, 0, -6, -2)",[-1.95829625 -1.94791373 -1.96669452 -1.81910147]
"(-1, -2, -4, 2, -6, -2)",[-1.16208022 -0.97504515 -1.10961831 -1.06182048]
"(-1, -4, -4, 2, -6, -3)",[-0.67739541 -0.6430572  -0.5823621  -0.62202621]
"(-1, -4, -4, 4, -6, -2)",[-0.12878822 -0.1        -0.1        -0.1       ]
"(-1, -6, -4, 2, -6, -3)",[-0.20422264 -0.19       -0.1999     -0.1       ]
"(-1, -2, -4, 0, -6, -2)",[-1.98383228 -1.95371178 -1.93005516 -1.45463621]
"(-1, -2, -4, -2, -6, -3)",[-2.30313888 -2.21639807 -2.23912784 -2.27713063]
"(-1, -2, -4, -4, -6, -4)",[-1.78502379 -1.76216117 -1.77743875 -1.80877469]
"(-2, -1, -5, -5, -7, -4)",[-1.68105734 -1.51267245 -1.48915904 -1.59128349]
"(-2, 1, -5, -5, -7, -3)",[-0.77227942 -0.74088122 -0.71721966 -0.75235539]
"(-2, 1, -5, -7, -7, -4)",[-0.19      -0.2333104 -0.1999    -0.1      ]
"(-1, 2, -4, -6, -6, -4)",[-0.1        -0.12897757 -0.1        -0.1099    ]
"(0, -1, -3, 1, -5, -2)",[-1.50843507 -1.24777455 -1.41720561 -1.46599848]
