"(1, -4, -7, 1)",[-14.27040946  -2.8164499   -2.81879877   6.56519665]
"(3, -2, -6, 7)",[-3.26142771  9.07062721 -1.45155073 -5.69856893]
"(3, -2, -7, 1)",[-8.36306326 -4.14238435 -1.94129101  7.52406578]
"(5, 0, -6, 1)",[-5.21629447 -3.8        -0.9987281   3.35715779]
"(4, 1, -6, 1)",[-4.20776591 -3.77870061 -1.57639727  5.46532418]
"(2, 1, -7, 1)",[-4.63830159 -5.24860758 -1.87285723  3.779004  ]
"(2, 1, -6, 1)",[-2.17808461 -3.72534135 -1.79403714  9.13054283]
"(0, -1, -7, 1)",[-6.91434512 -4.01845729 -2.68036065  4.85819656]
"(0, -1, -6, 1)",[-9.96280986 -6.8084029  -2.84539664  9.70236638]
"(-1, -2, -6, 1)",[-19.00998079  -2.63001343  -2.63192942   9.57277744]
"(-3, -4, -7, 1)",[-9.94094715 -5.66340359 -3.18920278  4.40914562]
"(-4, -5, -7, 1)",[-12.44634151  -5.77772472  -4.54658133  -1.33538028]
"(-6, -7, -8, 1)",[-10.04717037  -4.77175409  -4.33292459  -3.88845114]
"(-6, -9, -9, 1)",[-7.56636281 -4.86214793 -4.45100452 -4.50291829]
"(-5, -10, -9, 1)",[-9.9408399  -3.82579352 -3.31536016 -2.63280206]
"(-5, -10, -10, 1)",[-6.31632658 -9.51013832 -3.68222749 -2.24788399]
"(-3, -8, -9, 1)",[-12.8958308   -4.26804413  -3.6989672    0.06927273]
"(-1, -6, -8, 0)",[-2.1319756  -2.14433398 -2.14230997 -1.9269136 ]
"(1, -4, -7, 0)",[-2.44774163 -2.4676455  -2.51184301  0.26130489]
"(1, -4, -8, 0)",[-2.42686167 -2.17250329 -2.64196283 -2.40419963]
"(1, -4, -9, 1)",[-11.39280238   0.6305099   -2.99338149  -2.75883027]
"(3, -2, -8, 0)",[ -2.21408383 -60.96774338  -2.1812793   -2.14171267]
"(1, -2, -9, 1)",[-12.72939655  -2.76449753  -2.753586     1.18966019]
"(0, -1, -9, 1)",[-5.85337018 -1.62871788 -2.90626664 -2.53644472]
"(-8, -4, -8, 1)",[-4.01205915 -3.98016355 -2.37165255 -2.38251668]
"(-8, -4, -9, 1)",[-5.464489   -2.43145952 -2.06109141 -2.0650436 ]
