"(-4, -9, -6, 1)",[-18.33987172  -2.39540592  -2.34197896  -2.34878633]
"(-3, -8, -6, 1)",[-15.83819749  -2.29087446  -2.37211505  -2.3211563 ]
"(-3, -8, -7, 5)",[-5.42       -1.30543546 -6.9018     -1.37347548]
"(-4, -7, -7, 5)",[-6.90378027 -3.89514505 -5.42       -6.16220986]
"(-4, -5, -6, 3)",[ -1.52636031  -1.60168431 -10.70091038  -1.51557143]
"(-5, -6, -6, 3)",[ -2.00559673  -1.71642109 -11.62687392  -2.00531076]
"(-7, -8, -7, 5)",[-5.47559991 -1.20717439 -5.82436473 -2.33541039]
"(-7, -8, -6, 3)",[ -1.57385488  -1.53569278 -10.79329896  -1.5700883 ]
"(-8, -9, -6, 3)",[-1.35219237 -1.3751309  -7.02970105 -1.39024793]
"(-10, -11, -7, 5)",[-9.44791808 -2.19130902 -8.21754007 -1.3936822 ]
"(-10, -11, -6, 1)",[-6.9814103  -0.71675727 -0.66938838 -0.82106109]
"(-10, -11, -5, 1)",[-3.81986602 -0.26066278 -0.31216693 -0.23824594]
"(-8, -11, -4, 1)",[-3.88231082 -0.64011616 -0.78000266 -0.66929369]
"(-8, -13, -5, 1)",[-5.4285     -0.23137148 -0.24213244 -0.35428657]
"(-7, -12, -5, 1)",[-3.83797862 -0.38691085 -0.44821349 -0.41133752]
"(-5, -10, -4, 0)",[-1.07534994 -0.91715925 -1.10493476  0.1614585 ]
"(-5, -10, -5, 0)",[-1.40489393 -0.96350076 -1.40435304 -1.33441731]
"(-5, -10, -6, 1)",[-10.73580014  -1.55252943  -1.54837008  -1.58228544]
"(-3, -8, -5, 1)",[-16.81750008  -1.34035918  -1.49657687  -1.44339492]
"(-2, -7, -6, 1)",[-18.30172827  -0.76320996  -2.13316109  -0.38416968]
"(-2, -5, -5, 1)",[-21.07894     -7.04556358  -0.81380807  -7.89537541]
"(-2, -3, -4, 1)",[-19.27702933  -4.21722078  -0.67431135  -9.50832259]
"(-3, -4, -4, 1)",[-16.15956612  -2.74754146  -2.06199779  -2.47876699]
"(-4, -5, -4, 1)",[-17.42778398  -1.62678564  -1.88241122  -0.65114302]
"(-5, -6, -4, 1)",[-15.30979046  -0.70600886  -1.2282195    2.05572723]
"(-6, -7, -4, 1)",[-13.26700985  -1.30918361  -1.2063797   -0.52227327]
"(-6, -7, -3, 0)",[-1.5372524   1.51987815 -1.4351107  -0.77911971]
"(-8, -9, -4, 0)",[-0.9082788  -0.77404885 -0.83749681 -0.57338823]
"(-8, -9, -3, 0)",[-0.44560559 -0.40063077 -0.4122407  -0.19925012]
"(-6, -9, -2, 0)",[-0.92747514 -0.82783855 -0.89663988  1.53917372]
"(-4, -9, -1, 0)",[-0.30327416 -0.35155    -0.5368143   5.19893143]
"(-2, -7, 0, 0)",[ -0.62618099  -1.42589489  -1.93067339 -29.07781898]
"(-2, -7, -1, 0)",[ -2.62343836 -11.94906444  -1.25131691  -5.98537201]
