"(-4, -10, -13, 1)",[-2.         -1.60581363 -1.63932037 -1.63560097]
"(-4, -10, -14, 1)",[-2.         -0.28360276 -0.1        -0.10928391]
"(-3, -9, -14, 1)",[-2.         -0.35417106 -0.29605294 -0.41700147]
"(-1, -7, -13, 1)",[-1.91988693 -1.37598677 -1.33463583 -1.46623948]
"(-1, -7, -14, 5)",[-0.54603978 -0.53040108 -0.51885263 -0.61533729]
"(-3, -7, -15, 5)",[-4.19218813 -1.20856366 -2.12657188 -1.19707425]
"(-5, -7, -16, 5)",[-2.      -0.1085  -2.01615 -0.271  ]
"(-5, -5, -15, 5)",[-2.         -0.41279468 -2.24646016 -0.38078811]
"(-6, -6, -15, 5)",[-1.9        -1.08689472 -2.02440775 -1.13387651]
"(-6, -6, -14, 1)",[-2.         -0.24047617 -0.51898417 -0.31425044]
"(-6, -6, -13, 1)",[-2.0992225  -1.27532503 -1.32314282 -1.52967187]
"(-8, -8, -14, 1)",[-2.         -0.2523802  -0.11996871 -0.2438115 ]
"(-8, -8, -13, 1)",[-2.09       -1.58889304 -1.56252087 -1.52162144]
"(-8, -8, -12, 1)",[-1.91610805 -1.96461688 -2.00840987 -2.07892988]
"(-6, -8, -11, 1)",[-6.34100104 -3.07154998 -3.08504355 -3.15196514]
"(-4, -8, -10, 1)",[-3.69587296 -3.35096029 -3.34232605 -3.28297774]
"(-4, -10, -11, 1)",[-3.20550955 -2.70538968 -2.69163249 -2.77331178]
"(-2, -8, -10, 0)",[ -2.86684388 -16.84606215  -2.89167262 -33.33306803]
"(-2, -8, -11, 1)",[-3.83581983 -2.96445725 -2.93096446 -2.97990196]
"(0, -6, -10, 0)",[ -3.05373904 -19.07953749  -3.08782723  -3.04262379]
"(2, -4, -9, 0)",[-16.39        -3.16258678 -31.19071284  -3.21565758]
"(4, -2, -8, 0)",[ -1.91765649  -1.96781603  -2.00211013 -20.19664323]
"(6, 0, -7, 0)",[-0.44433661 -0.33924672 -0.326775   -0.32922687]
"(6, 2, -6, 0)",[-0.93187703  4.38751525 -0.91356838 -0.80731675]
"(4, 2, -7, 0)",[-0.98008209 -0.36619296 -1.00222696 -0.95510992]
"(2, 2, -8, 0)",[-0.45586243 -0.49545445 -0.51645377 -0.51907408]
"(2, 2, -7, 0)",[-20.91151127  -0.14402772  -1.24487865  -1.10785105]
"(0, 0, -8, 0)",[-13.99814721 -18.4385457   -2.19379179  -2.00072457]
"(-2, -2, -9, 0)",[ -3.5616414  -15.70951786  -3.5896501  -21.45958405]
"(-2, -2, -8, 0)",[ -3.49897396 -33.16351054  -3.55957298 -35.12593753]
"(-2, -2, -7, 0)",[ -3.07541035 -25.9739473   -3.41856287 -14.17932583]
"(-2, -2, -6, 0)",[ -2.84085023 -34.49176973  -3.17710086 -30.25476155]
"(0, -2, -5, 0)",[-20.6609172  -18.15182539  -3.63628037 -18.84341714]
"(2, -2, -4, 0)",[-32.36898881 -34.61426892 -32.96866637  -0.86791618]
"(2, -4, -5, 0)",[-20.62205038  -8.69234436 -13.90578365  -6.16382293]
"(4, -2, -4, 0)",[ -5.07301124 -20.05977885  -6.97316657 -30.9515066 ]
"(6, 0, -3, 0)",[-18.86719941 -38.0085      -1.30811589   8.86044483]
"(-3, -8, -10, 1)",[-7.49864354 -2.95761196 -2.93742542 -2.7221051 ]
"(-3, -8, -11, 1)",[-3.22176037 -2.90520969 -2.92550345 -2.93091703]
"(-3, -8, -12, 1)",[-7.22426505 -2.83853344 -2.92960895 -2.91116066]
"(-1, -6, -11, 1)",[-3.88498063 -2.90571212 -2.94413392 -2.91197905]
"(1, -4, -10, 1)",[-5.82101478 -2.59136543 -2.60233133 -2.25676903]
"(1, -4, -11, 1)",[-3.78727807 -2.07171376 -2.11351608 -2.07596172]
"(1, -2, -10, 1)",[-2.40266113 -2.39645244 -2.4315732  -2.23822206]
"(-1, -2, -11, 1)",[-4.10253214 -2.34921102 -2.29484987 -2.26193062]
"(-3, -4, -12, 1)",[-3.93165937 -2.84817757 -2.83541516 -2.89351357]
"(-3, -4, -11, 1)",[-6.94081871 -2.88588756 -2.90501693 -2.93960529]
"(-3, -4, -10, 1)",[-6.05712566 -2.97940948 -2.95705372 -2.57324983]
"(-3, -4, -9, 1)",[-6.03481866 -2.43869526 -2.58389733 -1.18392736]
"(-5, -6, -10, 1)",[-5.00415013 -2.76841964 -2.77820211 -2.5269115 ]
"(-6, -7, -10, 1)",[-3.17910272 -2.20672148 -2.20479193 -1.76390492]
"(-8, -9, -11, 1)",[-3.44383534 -2.24986549 -2.23532323 -2.19381621]
"(-7, -10, -11, 1)",[-3.09078941 -3.03252495 -3.06204228 -3.04229773]
"(-5, -10, -10, 1)",[-2.781207   -2.6781759  -2.67765422 -2.5831031 ]
"(-3, -8, -9, 1)",[-9.55752928 -2.74325499 -2.80240774 -2.20187591]
"(-1, -6, -8, 1)",[-3.66466914 -2.32100015 -2.32379184 -0.48248778]
"(1, -4, -7, 0)",[-2.79447384 -2.39136366 -2.78489545 -2.75457381]
"(1, -4, -8, 0)",[-2.74594884 -2.74057208 -2.74987696 -2.59835985]
"(1, -4, -9, 0)",[-2.84565093 -2.90990705 -2.91073663 -2.88175742]
"(3, -2, -8, 0)",[-2.22869184 -2.11210077 -2.20880279 -1.6477516 ]
"(5, 0, -7, 0)",[ -1.48158733 -15.01415641  -1.37376974  -0.61741707]
"(3, 0, -8, 0)",[ -2.23697414 -32.4666859   -2.13238616   0.23353175]
"(3, 2, -7, 0)",[-1.19790769  5.98985009 -1.27113939 -1.11513381]
"(3, 2, -6, 0)",[-1.31102487 12.23764927 -1.18860514  0.54114841]
"(3, 2, -5, 0)",[ 0.42142597 22.78479835 -1.15358009 -0.24323109]
"(3, 2, -4, 4)",[-0.87284273 -0.83624428  7.47977232 -2.1068725 ]
"(1, 0, -5, 0)",[-15.27730812 -31.23725584  -1.66592302   8.56270044]
