"(-2, -4, -9, 5)",[ -4.13337444 -18.46324453  -2.99228171  -2.61273905]
"(-2, -6, -10, 5)",[ -6.15136549 -59.82252924  -4.21343608  -2.77250261]
"(-3, -7, -10, 5)",[-3.68959136 -1.62729112 -4.9585667  -1.07922991]
"(-4, -8, -10, 5)",[-5.43615    -2.40684221 -4.16027686 -2.40488364]
"(-4, -8, -9, 5)",[-3.82720832 -2.01172404 -3.24060151 -1.93098348]
"(-5, -9, -9, 5)",[-2.09       -0.54952458 -4.9532822  -0.64697212]
"(-6, -10, -9, 5)",[-3.70929978 -1.33052382 -3.82445025 -1.3074128 ]
"(-6, -10, -8, 5)",[-3.89715    -1.15784774 -3.81752275 -1.26645349]
"(-6, -10, -7, 3)",[-0.57406076 -0.61649765 -0.55915463 -0.55071175]
"(-6, -10, -6, 3)",[-0.39171997 -0.50500779 -2.35883401 -0.44246714]
"(-8, -10, -7, 3)",[-0.39218783 -0.40380593 -1.9        -0.36889298]
"(-7, -9, -7, 3)",[-0.47299563 -0.5333189  -1.9        -0.507466  ]
"(-5, -7, -6, 3)",[-0.60595375 -0.58181996 -5.1772225  -0.51395002]
"(-5, -7, -7, 3)",[-0.82926363 -0.57456202 -1.97050598 -0.8059361 ]
"(-5, -7, -8, 5)",[-2.07145416 -0.90473777 -3.8         0.46569341]
"(-5, -7, -9, 5)",[-1.86285887  0.55599047 -5.07648076 -1.24062777]
"(-3, -5, -8, 5)",[-3.8238     -0.86112672 -3.8940815   2.40917315]
"(-1, -3, -7, 3)",[ -0.92895306  -0.97515916 -14.89728997  11.47868187]
"(-1, -3, -8, 5)",[-0.22715042 -0.28018658 -0.27773415  5.1260931 ]
"(-1, -5, -9, 5)",[-1.64671514  0.4317352  -2.21884723 -1.28196281]
"(-1, -5, -8, 5)",[-2.171      -0.76280369 -2.62213467  3.80096608]
"(-3, -7, -9, 5)",[-2.45681001 -0.321176   -1.92988175 -1.17206671]
"(-3, -7, -8, 5)",[-3.63190416 -1.25755244 -2.          3.06459811]
"(-3, -7, -7, 3)",[-0.75414585 -0.7344801  -5.18480025  3.27993484]
"(-3, -7, -6, 0)",[-1.02512293 -0.9487844  -0.81058676  5.80598727]
"(-3, -7, -5, 0)",[-0.69026979  1.89120752 -0.61482838 -0.56553807]
"(-5, -9, -6, 0)",[-0.4984448  -0.41801    -0.47981208 -0.41365694]
"(-7, -11, -7, 3)",[-0.20615    -0.23871299 -3.881      -0.28715   ]
"(-7, -9, -6, 0)",[-0.1  0.  -0.1  0. ]
"(-5, -7, -6, 0)",[-0.39528336 -0.41297018 -0.47589528 -0.48061985]
"(-3, -5, -5, 0)",[-0.79795929 -0.70954931 -0.72462883 13.800447  ]
"(-1, -3, -4, 0)",[ 0.40765035 50.0714494  -0.93621837  2.38754854]
"(1, -1, -3, 0)",[ 3.28916951 66.22324963 16.01863361 22.46109053]
"(3, 1, -2, 0)",[  8.46575074  38.48830642  37.98523011 103.52682067]
"(3, 1, -3, 0)",[ 5.92035333  5.93403398  4.35636992 80.18576064]
"(3, 1, -4, 0)",[ 0.4112002  61.81523153  2.40469517 10.74429944]
"(5, 1, -3, 0)",[10.16137834 25.72429864  4.11976785 65.18989308]
"(3, -1, -4, 0)",[ 4.37361028 55.46908122  4.30503783 11.68614992]
"(3, -1, -3, 0)",[ 6.86092548 75.34366903  8.22541024 10.21864781]
"(3, -1, -2, 0)",[ 8.7073566  89.39984174  8.83600365 37.84292388]
"(1, -3, -3, 0)",[16.06555067 69.36297143  6.21455629  1.79036301]
"(-1, -5, -4, 0)",[ 0.64767233 44.18407488 -0.62156634  1.36631054]
"(-1, -5, -3, 0)",[-0.83535909  8.37147452 -0.75498568 53.4188035 ]
"(-3, -7, -4, 1)",[-2.26059983  0.04445266 -0.46934884 24.70975759]
"(-5, -9, -5, 1)",[-3.71        0.92219901 -0.468559   -0.60742404]
"(-5, -7, -4, 1)",[-3.43162084  4.21970682 -0.65007068 -0.62983253]
"(-3, -5, -3, 0)",[-0.7396747  -0.80777874 -0.7401422  28.89034815]
"(-1, -3, -2, 0)",[ 2.29988496 14.42025983  0.58505537 83.62970687]
"(1, -1, -1, 0)",[46.27600445 78.32650988 50.73773222 56.70125276]
"(3, 1, 0, 0)",[85.98747931 66.44609288 65.7892308  56.31066573]
"(5, 3, 1, 0)",[ 3.1250824  -0.18826065 92.00122619  1.09334853]
"(5, 3, 0, 0)",[ 61.95767806  36.75169421 116.23948592  33.16473323]
"(5, 3, -1, 0)",[ 59.85377215 167.80082488  57.94134645  85.77210791]
"(7, 5, 0, 0)",[ 36.00174802  33.35841893 136.62198483  21.97212051]
"(7, 3, -1, 0)",[ 51.24175496 168.35623819  36.12547826  98.69785397]
"(7, 3, 0, 0)",[ 68.02799628  39.95179992 118.26836005  32.60335368]
"(7, 3, 1, 4)",[ -0.27298643  -0.3965967  100.82486209  -1.81829792]
"(5, 1, 0, 0)",[ 73.82890648  48.40209025 104.59180354  39.23978195]
"(5, 1, 1, 0)",[11.47518743 -0.12611167 68.30737576  3.34230615]
"(3, -1, 0, 0)",[64.1978378  55.31651779 96.12609429 36.08213834]
"(3, -1, 1, 4)",[-0.48780258 -0.54419963 38.43909844 -0.38574141]
"(1, -3, 0, 4)",[ 1.96594271 -0.28852275 79.17552372  0.        ]
"(1, -3, 1, 4)",[-0.271      -0.19       67.36900905 -0.22060425]
"(-1, -3, 0, 4)",[-0.20615     1.45718039 59.40174532  5.3692343 ]
"(1, -1, 1, 4)",[-0.4409175  -0.36830775 47.79562161 -1.91615   ]
"(1, -1, 0, 0)",[58.91931967 70.43795678 78.84289514 59.58505774]
