"(-1, -8, -7, 0)",[-2.88833592 -2.85445624 -2.89227926 -2.89131746]
"(-1, -8, -8, 0)",[-3.0698509  -3.01120407 -3.02693922 -3.02563602]
"(-3, -8, -9, 1)",[-19.75623579  -3.42761607  -3.49694488  -3.19978274]
"(-3, -6, -8, 1)",[-20.93316636  -3.3341407   -3.35969922  -3.33339325]
"(-3, -4, -7, 1)",[-19.39382053  -2.76401781  -2.85434627  -2.57802296]
"(-5, -4, -8, 1)",[-15.13001274  -2.83256568  -2.84512435  -2.85422802]
"(-6, -5, -8, 1)",[-13.39975896  -2.1271992   -2.14404843  -1.74944355]
"(-6, -5, -7, 0)",[-2.18517517 -2.14787427 -2.21460634 -2.16961286]
"(-8, -7, -8, 0)",[-1.49188149 -1.50213589 -1.48535307 -1.60001916]
"(-10, -9, -9, 6)",[-0.11083809 -2.         -2.         -0.1       ]
"(-10, -9, -8, 0)",[-0.27732861 -0.20329791 -0.1        -0.20354353]
"(-10, -11, -9, 6)",[-0.26386386  0.          0.          0.        ]
"(-10, -13, -10, 5)",[ -5.49713161  -2.80224512 -12.46215147  -3.52291835]
"(-8, -13, -9, 1)",[-12.41704381  -1.44541649  -1.63237673  -1.53332779]
"(-6, -13, -8, 0)",[-0.43809856 -0.47945014 -0.53712694 -0.38600541]
"(-4, -11, -7, 0)",[-1.37266829 -1.4211501  -1.40055144 -1.40558844]
"(-2, -9, -6, 0)",[ -1.81754906 -43.9624556   -2.1539854  -24.5996    ]
"(-2, -9, -7, 0)",[ -2.45182394 -21.51373068  -2.53879348 -78.45524828]
"(0, -7, -6, 0)",[ -1.42059196 -17.1668112   -1.54483087   3.62037499]
"(0, -7, -7, 0)",[ -1.65738568 -21.89964861  -1.77485829   1.76646646]
"(0, -5, -6, 0)",[ -2.10675217 -20.21699585  -2.34235109   5.46475871]
"(-2, -5, -7, 0)",[ -2.02173992 -40.1907849   -3.1325139  -29.7623958 ]
"(-4, -5, -8, 0)",[-2.96906473 -2.96952002 -3.00874515 -2.95854585]
"(-4, -3, -7, 0)",[-2.62508688 -2.54493062 -2.56434187 -2.54069283]
"(-4, -3, -6, 0)",[-2.3483173  -2.16000175 -2.27702373 -2.28246431]
"(-4, -3, -5, 0)",[-2.07007462 -1.94219501 -2.07966326 -2.0689253 ]
"(-6, -5, -6, 0)",[-2.08813006 -2.06879995 -2.05064634 -2.03012724]
"(-8, -7, -7, 0)",[-1.61875919 -1.50965853 -1.50762955 -1.5212783 ]
"(-10, -9, -8, 1)",[-5.56774772 -0.65060668 -0.70106964 -0.69828709]
"(-10, -11, -9, 1)",[-10.63534118  -1.28652435  -1.41727528  -1.33217257]
"(-8, -11, -8, 1)",[-15.44772794  -2.08709354  -2.10913841  -2.08543417]
"(-6, -11, -7, 0)",[-1.83468596 -1.80157858 -1.77412992 -1.77659304]
"(-4, -11, -6, 0)",[-1.40998858 -1.39302073 -1.34178375 -1.4436551 ]
"(-4, -11, -7, 1)",[-12.65425819  -1.58095965  -1.47818791  -1.36251173]
"(-2, -9, -6, 1)",[-16.53123084  -0.84253322  -1.41155367   1.08915695]
"(-2, -9, -7, 1)",[-10.78516095  -1.65606414  -1.77143988   0.56424616]
"(-2, -9, -8, 1)",[-17.70095472  -1.80362379  -1.95582432  -0.90172893]
"(-1, -8, -8, 1)",[-17.06055703  -2.7590365   -2.74936009  -2.74203152]
"(-2, -7, -8, 1)",[-20.86929765  -2.30135316  -2.35303414   0.0426875 ]
"(-4, -7, -9, 1)",[-20.22991073  -2.96677018  -2.97796886  -1.50349317]
"(-4, -5, -8, 1)",[-21.32147451  -2.73015045  -2.57730298  -1.86113775]
"(-6, -5, -7, 1)",[-15.98214234  -1.892489    -1.89179462  -1.83837862]
"(-6, -5, -6, 1)",[-13.53799077  -1.98387328  -1.9667521   -2.00640894]
"(-6, -5, -5, 1)",[-15.81066411  -1.66649918  -1.67696863  -1.64922987]
"(-8, -7, -6, 1)",[-14.06994917  -1.5116767   -1.54710424  -1.52018926]
"(-7, -8, -6, 1)",[-15.49254658  -1.9809293   -2.05687635  -2.02870022]
"(-6, -9, -6, 1)",[-18.75899173  -2.32862171  -2.3229804   -2.32579029]
"(-4, -9, -5, 1)",[-14.10151651  -1.96122223  -1.85038452  -1.56368488]
"(-2, -9, -4, 0)",[ -1.46217712 -33.30055147  -1.95459308 -11.64614347]
