"(1.0, 2, 0)",[ 50.66582625  24.74376912 112.04801979  30.97220114]
"(1.0, 1, 0)",[ 84.06037533  86.27117285 111.28164569  87.90095655]
"(1.0, 0, 1)",[-8.09221336 91.2416439   0.23525376 -0.271     ]
"(1.0, -1, 1)",[-6.43792385 90.35124345  0.28676293  5.51340573]
"(1.0, -2, 1)",[ -6.21762401 114.73442232   8.53434582   9.98252132]
"(0.0, -2, 1)",[-3.43774894 31.44198228  1.58944992  1.36621191]
"(0.0, -1, 0)",[14.22341241 -2.75051903 10.9095391  35.09461479]
"(-2.0, -2, 1)",[65.54083514 10.42005174  9.99921539  1.89322434]
"(-3.0, -2, 1)",[-1.93444392 93.83953497 19.20910179  4.75049874]
"(-4.0, -2, 1)",[68.19712075  8.28795328 -0.32615334  2.80174472]
"(-5.0, -2, 1)",[-5.96763573 93.55398664  8.81390119  6.0887045 ]
"(-5.0, -1, 0)",[56.02180517 70.05131501 64.97300474 70.22563375]
"(-7.0, -2, 1)",[-9.73398532 -0.1191616  -0.1        14.16861199]
"(-8.0, -2, 1)",[-3.79767691  1.17179975 -0.10987275 -0.36005   ]
"(-6.0, -1, 1)",[-4.93013865  8.70649154 -0.05272864 -0.05410748]
"(-6.0, -2, 1)",[-7.51203084  8.19789275 -0.28975157 -0.20418624]
"(-3.0, -1, 1)",[-13.358862    81.12952565   5.64661614  -0.34394658]
"(-1.0, 0, 0)",[90.74044251 96.42265494 88.16296043 93.23759845]
"(1.0, 0, 0)",[ 87.17863445 109.32259042  87.12239187  89.59299936]
"(1.0, -1, 0)",[ 82.50845811  83.16448858  82.34799137 105.2782607 ]
"(1.0, -2, 0)",[71.10388337 86.82738476 66.69434086 84.95157541]
"(-1.0, -3, 1)",[-9.55447769 83.46167003 14.90158924 19.87444783]
"(-1.0, -2, 0)",[65.59710091 84.39555065 61.142315   75.45755397]
"(-1.0, -1, 0)",[72.92958358 95.93048276 72.1954056  84.2470788 ]
"(-1.0, 1, 0)",[83.5116761  71.61766538 82.31362819 66.38142122]
"(-3.0, 0, 0)",[79.56702455 77.50688555 78.65145697 78.60024841]
"(-3.0, 1, 0)",[54.0751467  43.99581575 71.60920034 48.00271461]
"(-5.0, 0, 0)",[69.95804346 69.23511607 69.32859669 70.13666579]
"(-5.0, 1, 0)",[21.31180483 15.49832765 74.02923588 15.3437074 ]
"(-5.0, -2, 3)",[ 0.20811618  3.7115662  -3.54670652 62.35929842]
"(-3.0, -1, 3)",[ 14.85044042 213.2372036   23.40630861  24.6770369 ]
"(-1.0, 0, 3)",[ 6.06308348  0.         -2.         21.99233965]
"(0.0, 0, 1)",[ 0.06477064 14.83716353 -0.09284026 -0.02435761]
"(3.0, 0, 0)",[86.98291663 87.28955361 87.5002681  96.36175525]
"(3.0, -1, 1)",[-4.11721377 86.08464209  6.33287521 -0.23983121]
"(2.0, -1, 1)",[-5.49641972 34.32379302  3.81792259  4.69795784]
