"(-6, -6, 0)",[-2.79719831 -1.98466455 -2.66368142 -1.64430833]
"(-4, -5, 4)",[-1.74258377 -0.73524927 -1.99717868 -9.62699151]
"(-4, -6, 0)",[-2.58693695 -1.81102175 -2.6123818  -1.81405618]
"(-2, -5, 0)",[ -0.78105891 -44.14322082  -1.77153448  -2.56230708]
"(0, -4, 0)",[  4.09975021 -37.91731975   1.69344489  11.19894381]
"(2, -3, 1)",[ 7.5777854  26.06393342  4.74182483 15.22934204]
"(3, -3, 1)",[-3.17200095 35.525077    9.33808954 14.07195631]
"(3, -4, 0)",[18.27999715 23.08255734 18.77939345 25.71155251]
"(3, -3, 0)",[24.85572769 31.85558616 23.35460589 27.0547524 ]
"(3, -2, 0)",[25.68476409 31.10983005 26.50678093 28.65387781]
"(3, -1, 4)",[28.08240407 30.02793786 26.47188065  6.44206053]
"(1, -2, 0)",[23.06150303 23.11762258 22.51863965 27.99013314]
"(1, -1, 2)",[ 23.96182487 -14.24049025  23.83051865  24.21373343]
"(-1, -2, 0)",[20.52731688 21.27681401 20.65905947 26.40323153]
"(-3, -3, 3)",[  6.3507529   13.2878281  -14.89803008  25.90422482]
"(-3, -2, 0)",[18.85943345 19.32511792 19.20084578 24.4200428 ]
"(-3, -1, 0)",[17.7710208  19.34078673 18.52746577 18.53817051]
"(1, -3, 0)",[20.69121549 25.98025239 19.94842475 24.658962  ]
"(5, -1, 2)",[31.44947654  2.83740776 32.35798676 34.37903554]
"(6, -1, 2)",[30.44064629 11.19565578 21.47356917 41.09531091]
"(6, 0, 0)",[48.64394841 57.1943964  37.95969527 45.37983175]
"(4, -1, 2)",[22.38830672  9.5010725  15.5808144  30.98952418]
"(3, -1, 2)",[26.00218866 -5.20163429 26.22947031 26.22458446]
"(1, -1, 4)",[ 23.19896728  24.31094136  23.48693767 -22.15575192]
"(0, -1, 4)",[ -3.95886691 -18.348889     1.49247012   4.4838237 ]
"(-1, -1, 4)",[ 18.38468566  22.49810703  22.40591759 -13.13798683]
"(-3, -2, 3)",[ 12.71427524  22.31124665 -13.80557665  21.95345882]
"(-4, -2, 3)",[-0.3115061   6.8949905  -1.74462848 -0.44929786]
"(-2, -1, 4)",[ 1.00928878 -4.50228584  0.04137306  2.72163694]
"(-2, -2, 0)",[  1.0759558  -26.93545911   0.35534609 -11.79786471]
"(2, 0, 0)",[  1.18325918   3.7489411  -20.60904646   1.60044469]
"(4, 1, 1)",[ 4.48037349 11.79144866 29.63680074  4.99273838]
"(5, 1, 1)",[ 42.43596563  18.88149972 111.02489239  36.32298547]
"(5, 0, 0)",[30.07356721 30.32375332 31.61945999 29.7313987 ]
"(5, -1, 4)",[27.71210228 70.30166899 27.4778032  10.77790993]
"(5, -2, 0)",[29.62695235 40.88348    29.91062055 34.45920909]
"(1, -4, 2)",[ 10.76037974 -17.36777235   9.35410141  20.96769669]
"(-1, -5, 0)",[12.94171144 17.02446637 12.00703785 16.55232695]
"(-3, -6, 0)",[ 9.58056063 12.62526464  9.54051359 13.15452663]
"(-5, -7, 0)",[ 5.21644441  8.54095933  5.15283996 10.32539328]
"(-5, -6, 0)",[ 6.20910597 13.15365859  7.58406169 12.96101662]
"(-7, -7, 0)",[ 2.4572632   7.9195219   2.20833428 10.14509744]
"(-9, -8, 0)",[-0.98548884  1.06834038 -1.15674876  6.96552745]
"(-11, -9, 1)",[-12.71057572   0.07555748  -0.93248934  -0.8293302 ]
"(-9, -9, 1)",[-19.94622919   2.3822708   -1.26420959  -0.13423406]
"(-9, -10, 1)",[-20.85978269   3.89823934  -2.63655266  -1.44953447]
"(-7, -9, 0)",[-0.43442721  1.90354174 -0.47747385  6.1869623 ]
"(-7, -10, 3)",[ -2.49676558   3.93020338 -20.61849329  -0.31940154]
"(-5, -9, 3)",[ -1.88513597   1.47179753 -22.03529438   5.75389518]
"(-3, -8, 0)",[4.28905924 8.43876792 4.51855652 8.77783533]
"(-3, -9, 3)",[ -1.51314218   6.80618585 -19.505787     0.25879675]
"(-1, -8, 0)",[4.79647838 8.15895122 4.9164031  9.11019956]
"(-5, -10, 3)",[ -2.37435808  -0.3093036  -21.52103969   5.42024161]
"(-7, -11, 5)",[-20.21724112   1.25895986 -19.22022004  -1.92843522]
"(-8, -11, 5)",[-16.97245681  -3.96267918 -18.71396327  -5.37361883]
"(-8, -10, 3)",[ -3.19398052  -3.42895239 -20.69753488  -3.1046695 ]
"(-9, -10, 3)",[ -2.05210478  -1.80696011 -19.84835234   3.96919497]
"(-11, -11, 5)",[-14.97642104  -4.97169424 -17.91885695  -2.62895416]
"(-12, -11, 5)",[-17.25420338  -3.68478183 -15.14298425  -2.91378059]
"(-12, -10, 3)",[-1.00998612 -0.81017019 -8.38518309 -1.01194387]
"(-10, -9, 0)",[-2.18063046 -2.31050639 -2.39141776 -2.36923977]
"(-8, -8, 0)",[-2.77415602 -2.84281326 -3.01204019 -2.73573433]
"(-6, -7, 0)",[-2.91846422 -2.25861996 -2.95843464 -2.4398744 ]
"(-4, -7, 0)",[-2.98492877 -2.11361517 -2.94084176 -2.10821446]
"(-4, -8, 0)",[-3.09837359 -2.21119277 -3.18869374 -1.91065283]
"(-4, -9, 0)",[-3.36819121 -2.54963988 -3.67589827 -1.65777689]
"(-4, -10, 3)",[ -3.59997476  -3.41522882 -20.37129652  -2.28252426]
"(-2, -9, 0)",[ -2.29738744 -51.20586323  -3.49310407 -11.71681896]
