"(-5, -4, 3)",[ 1.65659151  5.90471007 -8.68994747 18.60793537]
"(-3, -3, 1)",[-10.58641155  23.42645812  13.15718073  16.68035467]
"(-2, -3, 1)",[ 3.68434047 -0.58776541  8.90674737  0.03299459]
"(-2, -4, 3)",[ -0.79870398 -33.79217521  13.41047469 -12.45868042]
"(0, -3, 1)",[ 7.87729208 11.7619181   4.99306319 19.43866395]
"(2, -2, 0)",[-22.42291173  27.7869688  -19.59649376  16.55842817]
"(2, -1, 0)",[  8.9615452   45.49021442 -42.80018113   5.12880307]
"(2, 0, 3)",[-18.9816463    7.956397    25.95487556   6.34935104]
"(1, 0, 3)",[32.40448177 28.98305587 14.41332847 33.23447836]
"(0, 0, 3)",[-36.9542542  -28.08520498  20.39943996   7.50738675]
"(0, 1, 0)",[-11.59833306 -23.02593607  58.81171385   4.59819025]
"(-2, 0, 4)",[ 5.96598685 -8.26746721  4.14488807  9.04030585]
"(-4, -1, 0)",[2.57887585 2.46046441 2.47099896 2.75350787]
"(-6, -2, 0)",[-0.17952118  3.18306457  0.72334432  3.17998256]
"(-6, -1, 0)",[1.81405402 2.95220499 1.69740985 6.00625535]
"(-2, -1, 0)",[  3.55936076 -28.09210921   1.99377106 -13.54046289]
"(2, 1, 0)",[-51.32915492   7.38574047 -56.14945736   3.22587127]
"(4, 1, 0)",[12.26923261 15.61088042 82.62379257 18.70835166]
"(4, 0, 4)",[18.76581732 16.62928791 26.14043566 17.54861329]
"(2, 0, 2)",[-36.382539    18.41584782  11.64517515  12.8659387 ]
"(1, 0, 2)",[ 25.90700595 -15.18928797  25.44528865  26.6162043 ]
"(-1, -1, 0)",[22.38996784 95.56831849 21.72869979 26.00810482]
"(-3, -2, 1)",[-5.65538066 26.49791798 16.10559848 20.81530847]
"(-3, -1, 1)",[-4.66258562 19.27043029 16.85251882 27.27048439]
"(-4, -1, 1)",[3.48741804 4.78602141 2.91797361 3.45020845]
"(-5, -1, 1)",[-9.12698941 26.90954436 10.37787078 17.81454515]
"(-6, -1, 1)",[-8.44852605  5.15454672  0.02487982  3.47185339]
"(-4, 0, 2)",[6.61307469 4.74578658 3.74971525 6.9161186 ]
"(-3, 0, 2)",[18.54442822  8.41503266 35.47412217 21.52660215]
"(-1, 0, 1)",[-10.51018655  18.25570843  20.60819412  39.43394714]
"(1, 1, 7)",[ -8.74056708  14.0226487   24.7263345  -25.47269388]
"(2, 1, 7)",[ -3.8443302    6.37205774 -14.94334178  -6.10725411]
"(2, 0, 1)",[18.77997133 12.14683713  5.49353983 11.14948996]
"(3, 0, 1)",[12.49129933 27.95353034 27.74450218 27.70833509]
"(5, 1, 7)",[-1.15136938  5.72262563 33.34223992 -9.2727339 ]
"(3, 1, 0)",[28.10356481 29.97085516 30.34911803 30.56878228]
"(3, 2, 4)",[18.0251099  16.84847732 38.90001959 -3.74189738]
"(1, 1, 0)",[24.98673869 26.57822564 74.18484797 25.76636444]
"(-2, 0, 1)",[  7.939412   -10.76182678   4.68064206 -14.87947947]
"(-3, 0, 1)",[ 0.34842255 18.40345785 18.1504117  20.58332941]
"(-3, 1, 0)",[19.86955715 23.11830152 21.68095583 20.26350361]
"(-5, 0, 2)",[17.188157    2.52251468 24.55036698 19.64232392]
"(-5, -2, 1)",[-10.36088395  21.34320486  11.60776516  11.97234861]
"(-5, -3, 5)",[-2.0085      5.78070919 -4.78204817 10.16203407]
"(-4, -3, 5)",[-5.42000000e+00  1.82265266e-04 -9.77840952e-01  3.22425596e+00]
"(-2, -2, 0)",[ 3.90323604 -7.7900559   1.76267537 -0.47765173]
"(0, -1, 0)",[-5.00884239 -4.8396891   6.70462317  5.39685034]
"(2, 0, 4)",[-38.15481258   6.02003584 -24.72678184  15.29579116]
"(0, -3, 5)",[-5.35055504  0.76592431 -0.08424121 17.87504663]
"(-1, -3, 5)",[-3.40994904 16.50503688 -1.69114475  0.        ]
"(-2, -3, 5)",[-5.34283894  0.70964371 -0.66144892 11.53083715]
"(-3, -3, 5)",[-7.57548992 17.09267035 -1.29827617  1.29399326]
"(-6, -3, 5)",[-6.57265914  1.64193149 -0.5        -0.13943119]
"(-7, -3, 5)",[-3.8         0.         -3.10326359  5.061447  ]
"(-7, -2, 1)",[-12.93089612  26.99516959   3.38122499   2.49520989]
"(-4, -2, 0)",[1.57704341 2.05794964 1.71742663 2.74688304]
"(0, 0, 4)",[  4.29376415 -10.22364052   3.66347216   8.84800585]
"(0, -2, 1)",[ 9.41951335 10.7661817   7.66082626 10.85177814]
"(1, -2, 1)",[ 2.47958694 32.08066057 21.93757832 21.63930843]
"(2, -2, 1)",[17.11895565 31.0982404  13.4367112  18.86578627]
"(-1, -2, 1)",[-20.43324123  28.94546197  20.94613845  19.58485031]
"(-1, -1, 1)",[-13.60362169  44.18970661  19.14855086  20.9648616 ]
"(-4, -2, 1)",[1.45725171 2.56763177 1.78800679 3.08655164]
"(-4, 0, 4)",[1.63350693 5.4426311  2.88622793 0.97421456]
"(-4, -3, 1)",[-0.79373922  1.70057455  0.26900912  2.39970507]
"(-4, -4, 3)",[-1.23943499  2.52753716 -6.9606628  -0.68662609]
"(-4, -5, 7)",[-7.95350722  0.7565049  -1.60943664 -9.61372853]
"(-4, -6, 9)",[-7.26203908 -3.1089555  -2.69046819 -0.05562408]
"(-2, -5, 7)",[-12.04693671   2.40770749   3.62659655 -10.15600972]
"(-2, -6, 9)",[-11.74019228  -2.06096447   1.77865364  -0.21817499]
"(-4, -7, 1)",[-10.57586604   0.86717314  -1.60633728  -0.50339051]
"(-6, -8, 5)",[-14.74279831  -3.65683803 -13.53549963  -1.89804996]
"(-6, -7, 1)",[-11.65226271  -2.05764867  -2.38537716  -0.26958736]
"(-6, -6, 4)",[-0.93508338  0.41109486 -1.15356349 -2.76383962]
"(-7, -6, 4)",[ 1.52029029 11.02086846 -0.03724718 -1.37115   ]
"(-9, -13, 1)",[-19.08542254  -0.1042477   -3.04761063  -2.31229459]
"(-9, -14, 1)",[-18.40371887  -1.91258515  -2.78190022  -2.59143997]
"(-8, -14, 1)",[-19.97209145  -3.29437447  -3.55972034  -2.96035667]
"(-8, -15, 1)",[-18.55898481  -2.94951627  -2.92781646  -2.95469853]
"(-6, -14, 0)",[-2.95693703 -2.98147254 -2.95503726 -2.86450797]
