"(-3, -6, 0)",[1070.18307563 1687.86600911 1030.51988063 1150.30491733]
"(-1, -5, 0)",[1276.0193341  1708.00583684 1141.13085906 1377.96422152]
"(-1, -6, 0)",[1129.59795616 1239.6971256  1205.82879339 1632.14732449]
"(-3, -5, 0)",[1142.95899166 1283.07934556 1108.8849293  1699.91653167]
"(-5, -6, 7)",[ 25.01098104  22.8449177  623.40908753  -1.41604739]
"(-5, -5, 0)",[ 884.66121126 1651.67779705  684.09644402  840.95243025]
"(-7, -6, 0)",[ 403.77220375  397.93118413  305.43735861 1444.06121675]
"(-9, -7, 1)",[  10.69800519 1103.88843842    8.4327416    67.57206594]
"(-9, -6, 0)",[  48.86866549   79.64368817   83.99035286 1075.35242709]
"(-11, -7, 1)",[-13.93959212 273.66596436   5.8535274    8.14735516]
"(-11, -8, 1)",[ -7.62299524 325.24373821  -0.74276941  -0.61381676]
"(-10, -8, 1)",[ 3.50653602e+01  4.04901943e+00 -6.30704544e-03  5.76634686e+02]
"(-8, -7, 0)",[ 41.6548008  910.50234373   2.93219353   3.10115633]
"(-6, -6, 0)",[ 142.83557133 1058.13822759   54.28595697   79.44154284]
"(-6, -7, 6)",[ 0.91580266 -0.5        -2.         15.14792458]
"(-6, -8, 3)",[ 61.05724333 688.31732322   3.78707028  -1.94028007]
"(-5, -8, 3)",[ 3.31294575e+01  1.17646034e+02 -1.24284972e+00  1.33015269e+03]
"(-4, -8, 3)",[ -2.26718228  62.77139686 833.68141745  24.47699482]
"(-2, -7, 6)",[-0.42493583 -0.60871671 -6.60635449 -0.1703657 ]
"(-2, -6, 0)",[1242.91483791  431.37291661  239.62639385  414.87843056]
"(-2, -5, 0)",[ 317.80321566  263.03047194  290.98629049 1275.28485166]
"(-4, -6, 0)",[ 382.91439521  532.83451816  367.19361932 1159.52859349]
"(-6, -7, 0)",[ 120.861704    123.32484713  139.05640319 1091.72585672]
"(-8, -6, 0)",[ 14.4183297   15.81530015  55.27833374 721.33783082]
"(-10, -7, 6)",[ 4.01077261 -1.355       0.          0.        ]
"(-11, -7, 6)",[ 0.  0. -2.  0.]
"(-9, -7, 6)",[ 1.93742586 -0.5         0.          0.        ]
"(-8, -7, 6)",[-0.40999528 60.05894903  0.          0.        ]
"(-8, -8, 3)",[ 9.72632402e+00  1.07616645e+01 -3.52529236e-01  5.65099854e+02]
"(-4, -7, 6)",[-0.45421221 -0.65793972 -1.95164436 -0.33423291]
"(0, -5, 3)",[-13.35341451  21.21915952 127.01485473 852.65443806]
"(0, -4, 0)",[ 584.00280078  605.04354453  527.66272583 1353.42859094]
"(0, -3, 0)",[ 700.35363793  736.24735391  605.04242706 1358.5598835 ]
"(0, -7, 0)",[ 424.75608042  266.95277037  261.96241717 1050.52300649]
"(0, -8, 0)",[341.91748054 211.39604404 309.1954263  857.1877189 ]
"(0, -9, 1)",[ 88.39361081 100.29693274  77.07290915 996.56289247]
"(2, -8, 1)",[1202.5789479    38.62428181  108.79146153   41.38779264]
"(4, -7, 0)",[105.64315509 190.58114623  70.57961661 490.82295403]
"(2, -8, 0)",[115.76253362  41.51854595  49.52630915 678.54804286]
"(-1, -9, 1)",[ 355.00130901 1301.90414561  214.63540928  485.22468442]
"(-3, -10, 1)",[ 147.93503695 1223.4933954   182.15853089  348.10847126]
"(-4, -10, 1)",[ 337.65130858  317.18880919  166.71224491 1221.31052661]
"(-6, -11, 9)",[-1.51982144e-02 -5.00000000e-01 -6.17133324e-01  7.41798925e+02]
"(-6, -10, 1)",[ 195.45133864  134.42865227  100.61812734 1134.62905763]
"(-6, -9, 6)",[-0.33091893 28.15532944 -1.92611603  2.56294323]
"(-7, -9, 6)",[24.50508296 -1.355      -2.         52.70809714]
"(-4, -8, 0)",[ 312.47941279  288.47257016  242.92128238 1166.79583403]
"(-2, -7, 3)",[  3.25974889  -9.08001794 693.74926122  -5.02075967]
"(-2, -8, 0)",[116.65957667 289.39447358 131.23582591 970.64291248]
"(0, -7, 3)",[ -5.43160261 -10.01551778   6.5653129  258.08349591]
"(1, -7, 3)",[ 414.26750344  258.47938751    7.71514735 1408.60679796]
"(1, -8, 0)",[ 664.75990474 1425.47549561  723.5950303   748.71729318]
"(3, -7, 3)",[3.77037423e+01 1.13585478e+03 1.26631014e-01 3.62689913e+00]
"(4, -7, 3)",[ -0.2848403  139.07524235  -1.17833614   0.2766511 ]
"(4, -6, 0)",[164.15566076 815.46693622 185.73360087 159.55208272]
"(4, -5, 0)",[ 319.51205    1182.32615024  280.84724097  462.29080559]
