"(-1.0, 0, 0)",[ 78.90309007 143.22781653  77.95127327  93.61869223]
"(-1.0, -1, 1)",[-12.90474648  75.16761815  21.10561987   9.30930093]
"(1.0, 0, 0)",[105.29232119  99.35381558 124.27822324  89.65211053]
"(3.0, 1, 0)",[181.11358077  65.69594834  65.44316803  70.39442864]
"(5.0, 2, 0)",[ 62.41427006  51.93644973 130.49715629  52.37340868]
"(5.0, 1, 0)",[ 76.8215993   74.39719497 129.13073348  75.15498478]
"(5.0, 3, 0)",[51.40928674 28.1353352  74.64564085 29.3017584 ]
"(3.0, 2, 0)",[ 47.17344891  45.89504225 108.59242758  47.74308956]
"(3.0, 3, 0)",[62.13786314 22.18428315 44.8934523  22.73969649]
"(1.0, 2, 0)",[ 39.73513817  38.90146095 114.62494653  38.97824907]
"(-1.0, 1, 0)",[ 67.71641802  51.574764   168.89545006  63.08517306]
"(-1.0, 2, 0)",[ 37.33929727  32.01938    117.74488016  38.21488624]
"(-3.0, 1, 0)",[ 65.4141707   44.02246618 176.56878865  40.2099494 ]
"(-5.0, 0, 0)",[ 57.32891124  54.00780218 123.41738607  50.13033408]
"(5.0, 4, 4)",[  3.81022432   0.05736432  35.63429837 -13.69402621]
"(3.0, 0, 0)",[ 84.45815814 105.77466614 120.25560085 105.71970633]
"(1.0, 1, 0)",[ 79.83276944  61.34505249 138.39111751  60.45690726]
"(-3.0, -1, 0)",[ 47.76036631 112.92989934  53.94783833  49.75392365]
"(-5.0, -2, 1)",[-5.15279207 71.46217075 22.10633216 16.55805398]
"(-5.0, -1, 1)",[-11.40516442  56.14980076   4.4519387   -0.09345528]
"(-3.0, 0, 1)",[-11.6398166   87.87742858   4.47672674   0.86804382]
"(-1.0, 1, 7)",[-3.81260788  0.2744477   1.59951317 -2.        ]
"(0.0, 1, 7)",[-3.8         0.51351423 -0.0827558  -2.        ]
"(0.0, 0, 1)",[-4.93611838 20.95787375  0.0562258  -0.02318331]
"(2.0, 1, 7)",[-2.         -0.31819228  5.27361939 -3.3813382 ]
"(2.0, 0, 1)",[-8.56522461 22.76435519  2.06295935  0.57390453]
"(4.0, 1, 7)",[-6.63732679  0.71581734 11.50936553 -2.52929956]
"(4.0, 0, 1)",[-4.54236899 27.46524713  4.33899061 -0.05737005]
"(3.0, 0, 1)",[-3.80922250e+00  1.27010371e+01  4.61677418e+01  3.62998342e-02]
"(0.0, -1, 1)",[11.89775977  5.33865459 43.33582685  1.55237998]
"(0.0, 0, 0)",[ 9.50698959  1.11357594 17.05785874 14.86033233]
"(0.0, 1, 0)",[ 13.64593782 -31.53354742  26.77471137   6.00087232]
"(-2.0, 0, 0)",[ 26.71000283 -19.50908412  10.09584543   7.81475535]
"(-2.0, 1, 0)",[ 26.57916908 -14.08656228   6.36335847   1.88212536]
"(-4.0, 0, 0)",[ 3.78467099 19.58002098  5.24097305  5.13965417]
"(-6.0, -1, 0)",[ 0.61140072  9.4166464  -0.69999982  0.1985316 ]
"(-4.0, -1, 0)",[34.46710038  3.46016256  3.87421994  2.81047688]
"(-4.0, -2, 0)",[ 3.74734024 11.60559113 -0.15724852 28.7493137 ]
"(-4.0, -3, 0)",[ 1.44056099  1.4928872   0.48755646 19.29757001]
"(-2.0, -2, 0)",[ 22.2667325    5.06195305   5.46779217 -14.00382683]
"(-2.0, -3, 1)",[13.76328015 12.34778294  7.9288546  39.78214959]
"(0.0, -2, 1)",[61.95301018 21.44170798 14.24316374  9.71282788]
"(2.0, -1, 0)",[-17.52411372  54.22998674 -16.09825569  13.52305156]
"(2.0, -2, 1)",[15.32047199 48.57923882  3.23655189  1.11730229]
"(2.0, -1, 1)",[-1.17797599 19.48106966  6.63581788  4.26867189]
"(0.0, 2, 4)",[ -0.26496414 -20.5375848    7.56836022  -3.57007398]
"(-2.0, 2, 4)",[-0.19       -0.25510503  3.84594404 -5.38024435]
"(-4.0, 1, 7)",[-3.8        -0.03819261 -0.1        -2.01615   ]
"(-4.0, 0, 1)",[-6.21804612 14.21171147 -0.39637751 -0.47362009]
"(-2.0, 0, 1)",[ 4.39070884 39.87516934  3.1871701  -0.41613539]
"(-2.0, -1, 1)",[16.79705407  6.26320606 44.11396959  0.21579694]
"(-1.0, -2, 1)",[ -4.309256   123.24231915  38.15977962  36.80275304]
"(1.0, -1, 1)",[-10.47728893  73.57602024  20.62596946   8.08743493]
"(3.0, 1, 7)",[-2.         21.71752147 -0.05361152 -5.42      ]
"(1.0, 1, 7)",[-5.4285      3.07367738 -0.27200427 -3.8085    ]
"(-1.0, 0, 1)",[-8.96372045e+00  9.20315290e+01  9.64591838e+00  3.80630106e-02]
"(-3.0, 0, 0)",[ 51.67333662 142.8615645   59.74189228  92.79173318]
"(-5.0, -1, 0)",[ 47.7081638   54.55114952  46.22741474 111.12175013]
"(7.0, 4, 0)",[28.41266893  1.7051083  60.73371223  1.12992031]
"(7.0, 3, 0)",[76.82759297 11.47142623 66.19076733 21.96343808]
"(-5.0, -12, 0)",[-2.25478753 -1.8374165  -2.16821834  8.66552416]
"(-5.0, -13, 3)",[ -2.34981786   1.16899548 -17.55150047  -2.37840083]
"(-3.0, -12, 3)",[ -2.10944191   6.6726795  -16.89899874  -0.94581423]
"(-3.0, -13, 3)",[ -2.07637592   2.3970171  -20.03854344  -2.03759351]
"(-3.0, -12, 0)",[-2.19981747 -0.36968468 -2.42887617  7.69607229]
"(-6.0, -13, 3)",[ -3.63702739  -3.63268758 -19.13763069  -3.59315732]
"(-6.0, -12, 0)",[-2.70524032 -3.63118129 -3.63420167 -3.63634538]
"(-6.0, -11, 0)",[-3.60304205 -1.52412376 -3.59074275 -3.58722292]
"(-6.0, -10, 0)",[-3.37598328 -3.13706093 -3.45897435  0.1942668 ]
"(-8.0, -11, 3)",[ -2.49826512  -2.93748321 -16.99386581  -2.93848456]
"(-8.0, -10, 3)",[ -2.67343895  -2.65964894 -17.99144309  -1.9229127 ]
"(-10.0, -11, 3)",[ -2.30325248  -2.34866167 -16.70944315  -2.23871985]
"(-7.0, -10, 3)",[ -1.61016176   3.08376115 -16.49428682  -0.82754709]
"(-7.0, -11, 3)",[ -1.87416335  -0.8296154  -20.00571626   8.87258468]
"(-7.0, -12, 3)",[ -1.98163162  -1.01492036 -15.90992874   6.56813762]
"(-5.0, -11, 0)",[-0.25783244  1.74299849 -1.97928222 12.07752308]
"(-3.0, -10, 0)",[ 4.16655292 15.23270277  4.46068589 12.16215637]
"(-1.0, -9, 0)",[ 4.98762681 19.4624714   6.15862038 13.6292794 ]
"(1.0, -8, 0)",[ 9.55674371 20.79511399  8.91447738 23.87335031]
"(3.0, -7, 0)",[10.03627509 27.5634916  13.02002935 15.52844413]
"(3.0, -6, 0)",[20.05057695 34.96603111 18.72096149 29.40690011]
"(3.0, -5, 0)",[29.05531431 37.82812676 26.0552549  35.52199592]
"(1.0, -6, 0)",[24.00603656 39.60278854 24.26360322 33.15807917]
"(-1.0, -7, 0)",[15.85217446 29.03969305 18.0215361  35.05724781]
"(-3.0, -8, 0)",[ 9.24445044 27.46903041 12.50355963 22.31448408]
"(-5.0, -9, 0)",[ 3.90925037 13.69209414  7.62741597 20.9039599 ]
"(-5.0, -8, 0)",[10.70782039 18.37575372  9.70420069 25.76149224]
"(-5.0, -7, 0)",[12.55749505 26.67249674 13.25757061 33.21033901]
"(-5.0, -6, 0)",[17.62258629 32.37160387 19.23213637 42.47779041]
"(-3.0, -5, 0)",[27.3688234  52.01554075 28.53080889 40.91824577]
"(-1.0, -4, 0)",[38.28231834 63.09340377 38.98150597 47.4409785 ]
"(-1.0, -5, 0)",[32.13040124 46.23932964 31.24748466 44.68750441]
"(-1.0, -6, 0)",[21.53072155 44.97661171 22.07551369 33.52773199]
"(1.0, -5, 0)",[30.10119208 44.21858979 31.73944181 40.85693678]
"(3.0, -4, 0)",[36.59012071 48.98293795 39.60282159 46.79188748]
"(-3.0, -10, 3)",[ -1.78151668   8.21456155 -15.06778205   0.90149727]
"(-3.0, -9, 0)",[ 4.24806645 13.83039866  6.7344123  20.51184215]
"(-5.0, -10, 0)",[ 1.95667176  6.98051576  1.59571985 16.09713743]
"(-7.0, -10, 0)",[ 1.11690008 17.03451971  0.166169    7.74697598]
"(-9.0, -11, 0)",[-1.01415842 12.62691525 -1.21359124  0.26136515]
"(-9.0, -10, 0)",[-0.57158959  0.53829928 -1.39325594 15.32918739]
"(-9.0, -12, 3)",[ -1.7276783   -1.33644608 -20.73881627   6.55299714]
"(-7.0, -11, 0)",[-1.18675578 13.06149322 -0.49031377  6.45087703]
"(-7.0, -12, 0)",[-1.9600197   0.72994879 -2.32609018  9.47374985]
"(-7.0, -13, 3)",[ -2.44440296  -1.18177283 -18.88553955  -2.02945782]
"(-5.0, -13, 1)",[-19.8463996   -2.38769739  -2.42347154   2.46169076]
"(-4.0, -13, 3)",[ -3.64228087  -3.63594166 -20.16056982  -3.60960662]
"(-5.0, -12, 3)",[ -2.26170592   4.00318474 -20.09871623  -0.86707965]
"(-6.0, -12, 3)",[ -3.49298025  -3.36048126 -18.99478248  -3.46879123]
"(-11.0, -12, 0)",[-0.68219726  0.468799   -0.77537469 -0.5138459 ]
